Sample,Temperature,Eh,O2,H+,HCO3-,Al+3,SbO2-,H2AsO4-,Ba+2,Be+2,Bi+3,B(OH)3,Br-,Cd+2,Ca+2,Ce+3,Cs+,Cl-,CrO4-2,Co+2,Cu+2,Dy+3,Er+3,Eu+2,F-,Gd+3,Ga+3,Au+,Hf+4,Ho+3,In+3,I-,Fe+2,La+3,Pb+2,Li+,Lu+3,Mg+2,Mn+2,Hg+2,MoO4-2,Nd+3,Ni+2,NbO3-,NO3-,NO2-,Pd+2,HPO4-2,Pt+2,K+,Pr+3,ReO4-,Rb+,Ru+3,Sm+3,Sc+3,SeO3-2,SiO2,Ag+,Na+,Sr+2,SO4-2,Tb+3,Tl+,Th+4,Tm+3,Sn+2,WO4-2,U+4,VO+2,Yb+3,Y+3,Zn+2,Zr+4
WA 1443-02,12.5,0.18,3.2,6.3,22,140,0.01,11,16,0.2,0.02,190,0.055,0.06,180,1.1,0.064,8.8,0.5,34,0.8,0.25,0.16,0.043,0.1,0.29,0.09,0.0008,0.003,0.058,0.003,0.016,86000,0.4,0.1,75,0.015,53,1600,0.2,0.83,0.68,53,0.01,0.03,0.02,0.02,0.001,0.02,4.6,0.18,0.003,5.4,0.02,0.14,7,0.4,15,0.2,88,2000,790,0.048,0.068,0.033,0.018,0.1,0.06,0.08,0.23,0.083,3,34,0.04
CA 2716-07,11.5,0.41,0.9,5.1,-64,2700,0.01,1.7,14,3.8,0.01,39,0.019,0.21,120,14,0.099,2.9,1.2,130,3.1,3.4,1.9,0.69,0.1,3.6,0.14,0.0009,0.042,0.67,0.001,0.005,29000,4.8,0.52,73,0.2,46,3300,0.2,0.1,8.8,180,0.01,0.03,0.02,0.02,0.001,0.02,3.5,2,0.001,7.7,0.02,2.7,6.5,0.6,20,0.2,2.5,310,540,0.63,0.13,0.008,0.25,0.1,0.04,0.14,0.46,1.3,16,280,0.03
AL Scrubgrass,13,0.21,0.3,6.1,58,14,0.01,14,14,0.1,0.01,190,0.46,0.05,100,0.03,0.095,270,3.3,7.1,2.1,0.017,0.015,0.005,0.1,0.024,0.06,0.0009,0.002,0.008,0.001,0.04,62000,0.013,0.1,37,0.004,32,660,0.2,0.5,0.036,17,0.01,0.03,0.02,0.11,0.001,0.02,5.1,0.007,0.003,5.2,0.02,0.013,3.9,1.3,15,0.2,280,1700,550,0.005,0.049,0.006,0.003,0.1,0.02,0.7,0.029,0.015,0.64,8.4,0.03
CA 2473-13,12,0.46,1,4.9,-109,9600,0.01,2.9,11,7.9,0.04,39,0.044,0.44,120,19,0.12,6.3,2,160,7.9,5.3,2.9,0.95,0.1,5.1,0.2,0.0015,0.065,1.1,0.004,0.01,30000,6.5,0.92,110,0.33,44,3100,0.2,0.08,12,230,0.01,0.03,0.02,0.02,0.001,0.02,3.8,2.7,0.001,8.5,0.02,3.7,11,0.85,29,0.2,19,500,600,0.91,0.14,0.045,0.39,0.1,0.02,0.38,0.87,2.2,23,390,0.03
CA 2473-14,11.5,0.25,1.2,5.6,-1,460,0.02,5.2,16,1.4,0.07,44,0.06,0.2,120,6.6,0.11,8.2,3.2,81,4.2,1.5,0.81,0.27,0.1,1.5,0.09,0.0019,0.021,0.31,0.007,0.013,26000,2.4,0.2,72,0.086,38,2300,0.2,0.2,3.6,100,0.02,0.03,0.02,0.02,0.001,0.02,4.2,0.85,0.001,7.9,0.02,1,6,1.4,19,0.2,24,620,480,0.26,0.17,0.1,0.099,0.1,0.025,0.52,0.11,0.55,8.4,160,0.04
CA 0623-02,12.5,0.5,0.5,4.4,-150,9000,0.04,3,11,12,0.14,36,0.036,0.19,83,17,0.13,5.8,4.1,180,2.4,7.1,3.9,1.1,0.1,6.2,0.12,0.0025,0.083,1.5,0.019,0.012,53000,5.5,1.1,110,0.44,34,2300,0.2,0.25,11,300,0.03,0.03,0.02,0.02,0.002,0.02,4.2,2.5,0.001,12,0.02,3.9,12,1.7,33,0.2,6.7,400,490,1.2,0.18,0.23,0.55,0.2,0.07,3.2,0.64,3,29,380,0.06
WM BR-02,11.5,0.68,0.6,5.2,-41,670,0.01,3.4,11,1,0.01,81,0.027,0.03,79,3.1,0.072,16,0.6,12,0.55,1.3,0.59,0.3,0.1,1.5,0.04,0.0051,0.014,0.24,0.009,0.008,28000,0.74,0.09,62,0.052,27,2300,0.2,0.09,3,28,0.01,0.03,0.02,0.02,0.003,0.02,2.6,0.57,0.002,5.3,0.02,1,4.8,0.2,20,0.2,22,650,370,0.25,0.055,0.027,0.071,0.1,0.03,0.26,0.1,0.38,6.8,38,0.07
WM BR-01,12,0.41,0.6,4.8,-75,1900,0.01,4,11,1.5,0.01,85,0.037,0.035,85,6.5,0.11,13,0.8,20,0.65,2,0.9,0.52,0.1,2.5,0.03,0.0175,0.021,0.38,0.02,0.009,36000,1.6,0.2,64,0.082,30,2200,0.2,0.08,5.5,44,0.01,0.03,0.02,0.02,0.01,0.02,2.6,1.1,0.001,6.5,0.02,1.8,6.3,0.3,24,0.2,26,740,430,0.4,0.094,0.013,0.11,0.1,0.02,0.64,0.14,0.6,9.6,72,0.08
AL Blue Lagoon,16.5,0.43,9.4,5,-16,1900,0.09,1.2,19,1.7,0.01,100,0.21,1.7,220,29,0.086,460,7.4,59,20,6.4,2.7,1.9,0.1,8.5,0.3,0.0006,0.072,1.1,0.011,0.029,1300,7.2,0.24,140,0.27,60,2000,0.2,0.2,26,100,0.01,0.03,0.02,0.02,0.001,0.02,4.6,5.4,0.005,3.6,0.02,7.8,5.5,1.9,20,0.2,200,820,580,1.3,0.13,0.008,0.34,0.1,0.02,3,1.2,1.8,27,170,0.08
WM 2525-03,12,0.68,0.4,3,-334,34000,0.02,0.81,2,6.4,0.01,52,0.011,2,110,87,0.11,16,13,170,54,14,6.4,4.3,0.1,19,1.2,0.0044,0.16,2.7,0.067,0.003,40000,26,0.15,140,0.6,54,13000,0.2,0.1,59,240,0.01,0.03,0.02,0.02,0.008,0.02,0.5,13,0.001,2.8,0.02,17,19,2,47,0.2,9.8,510,810,2.9,0.17,4.8,0.84,0.1,0.04,0.74,3.4,4.5,66,420,0.04
IN 2467-04,11,0.57,0.4,3.5,-272,18000,0.01,0.62,24,5.4,0.02,46,0.21,0.45,64,13,0.12,10,6.7,75,6.4,6.6,3.3,1.2,0.1,6.2,0.17,0.0011,0.066,1.3,0.017,0.02,85000,3.6,0.86,120,0.35,24,2200,0.2,0.3,10,130,0.01,0.03,0.02,0.02,0.001,0.02,2.8,2.1,0.001,9.4,0.02,4,11,0.5,24,0.2,46,620,600,1.2,0.26,0.5,0.46,0.1,0.2,0.57,0.94,2.5,29,290,0.05
CA 2452-02,11,0.72,4.9,2.8,-403,44000,0.02,0.18,7.7,12,0.04,39,0.013,1.3,64,27,0.12,2.3,14,200,33,16,8.5,2.6,0.1,14,0.63,0.0008,0.17,3.3,0.049,0.003,40000,8.1,4.2,170,0.89,36,4200,0.2,0.15,22,340,0.01,0.03,0.02,0.02,0.001,0.02,1.4,4.2,0.001,7.3,0.02,8.7,24,1.3,50,0.2,1.3,730,700,2.9,0.44,2.2,1.2,0.1,0.05,0.22,3,6.5,69,660,0.14
CA 2724-05,10.5,0.52,0.4,4.1,-126,7700,0.035,7.4,12,4.1,0.01,41,0.038,0.2,76,13,0.11,22,2.4,52,2.3,3.3,1.7,0.76,0.1,3.7,0.01,0.001,0.04,0.63,0.002,0.005,43000,4.1,0.5,81,0.19,31,1300,0.2,0.4,9.1,90,0.01,0.03,0.02,0.02,0.001,0.02,3.9,1.9,0.001,9.3,0.02,2.8,9,0.2,31,0.2,5.2,470,410,0.62,0.3,0.072,0.22,0.1,0.2,0.77,0.58,1.2,15,170,0.08
CA 2464-04,11,0.8,8.5,2.7,-360,37000,0.02,0.39,3.6,12,0.01,35,0.008,1.6,100,18,0.12,0.7,19,140,81,16,7.9,2.6,0.1,14,1.1,0.008,0.17,3.1,0.098,0.007,27000,5.2,2.2,240,0.86,50,3200,0.2,0.1,18,240,0.01,0.03,0.02,0.02,0.001,0.02,1.3,3.3,0.001,8.3,0.02,8.2,36,1.7,67,0.2,1.1,750,820,2.7,0.34,3.8,1.1,0.1,0.05,0.24,3.6,6.2,59,510,0.1
CA 0619-18,13,0.69,6.4,2.9,-266,13000,0.03,0.23,10,9.8,0.13,32,0.01,0.64,75,16,0.082,0.4,2.4,210,6.5,9.2,4.6,1.6,0.1,8.8,0.27,0.0009,0.11,1.8,0.011,0.004,63000,5.9,3.7,120,0.46,54,9700,0.2,0.15,13,240,0.02,0.03,0.02,0.02,0.001,0.02,2.6,2.6,0.001,7.4,0.02,5.5,13,0.9,38,0.2,1,190,660,1.7,0.17,0.35,0.62,0.1,0.065,0.15,0.84,3.3,45,500,0.07
IN 0623-72,11.5,0.39,0.5,4.7,-394,6800,0.02,8.6,14,3.1,0.03,59,0.066,0.11,82,7.2,0.2,5.4,1.5,59,0.7,7.1,3.7,1.1,0.1,6.3,0.07,0.0043,0.081,1.5,0.004,0.018,200000,1.8,0.82,110,0.37,32,2500,0.2,0.1,7.5,97,0.01,0.03,0.02,0.02,0.001,0.02,5.1,1.3,0.001,16,0.02,3.3,7,0.9,25,0.2,88,1200,880,1.3,0.47,0.033,0.49,0.1,0.045,1.7,0.45,2.5,35,170,0.06
CA 0053-01,11.5,0.56,0.4,3.8,-132,5100,0.01,1.6,15,1.3,0.01,59,0.029,0.17,59,3.3,0.1,2.6,1.5,37,2.5,2,1.1,0.3,0.1,1.9,0.04,0.0009,0.029,0.4,0.004,0.004,52000,0.97,0.35,75,0.12,26,1700,0.2,0.2,2.7,65,0.01,0.03,0.02,0.02,0.001,0.02,3.2,0.53,0.001,8.4,0.02,1.1,6.5,1.1,23,0.2,19,1100,410,0.36,0.15,0.045,0.14,0.1,0.13,0.15,0.28,0.75,11,120,0.14
WM Novessell,12.5,0.22,0.5,6,-41,270,0.01,1.8,15,2.3,0.01,110,0.056,0.01,86,6.4,0.12,9.8,1.4,33,0.55,2.7,1.4,0.48,0.1,2.6,0.1,0.001,0.032,0.57,0.001,0.012,65000,1.8,0.06,76,0.13,23,1600,0.2,0.15,5.1,66,0.01,0.03,0.02,0.02,0.001,0.02,4.9,0.99,0.001,13,0.02,1.7,13,0.4,23,0.2,130,1100,600,0.49,0.015,0.011,0.18,0.1,0.09,0.23,0.07,0.91,17,23,0.03
ARM Truxall,12.5,0.59,7.4,3.5,-598,36000,0.02,22,6.6,21,0.01,86,0.06,0.75,220,70,0.32,3.4,9.8,210,7,36,18,7.5,0.1,36,0.59,0.0008,0.36,7.1,0.015,0.009,201000,19,0.65,250,1.8,67,12000,0.2,0.2,66,330,0.01,0.03,0.02,0.02,0.15,0.02,6.2,12,0.002,21,0.03,26,17,2.6,49,0.2,130,2100,1600,6.4,0.88,0.58,2.4,0.1,0.13,11,1.6,13,160,660,0.13
IN 4760-04A,11.5,0.74,9.2,3.1,-245,34000,0.01,50,3.9,5.4,0.01,67,0.01,2.7,160,91,0.032,,9.6,170,38,15,6.4,4.5,0.1,19,0.52,,0.16,2.6,0.047,0.002,4000,25,0.2,140,0.58,86,5200,0.2,0.1,63,220,0.01,,,0.02,0.001,0.02,0.54,14,0.001,1,0.02,18,14,2.3,40,0.2,12,1000,985,3,0.067,2.8,0.84,0.1,0.06,0.12,3.1,4.3,65,550,0.04
IN 4760-04,11.5,0.45,5.4,5.2,0,1500,0.02,0.11,11,1.3,0.01,65,0.019,0.83,120,15,0.027,4.7,1.1,40,8.5,2.5,1.2,0.73,0.1,3.4,0.13,0.0006,0.026,0.48,0.001,0.003,340,5.1,0.1,74,0.11,54,1500,0.2,0.08,10,92,0.01,0.03,0.02,0.02,0.001,0.02,1.8,2.3,0.001,1.6,0.02,2.8,4.5,0.95,16,0.2,16,1000,540,0.51,0.11,0.007,0.14,0.1,0.03,0.14,0.35,0.72,13,160,0.03
IN 2415-02,13,0.4,0.3,4.5,-301,18000,0.01,4.3,12,7.1,0.01,56,0.25,0.19,110,20,0.11,10,6.7,59,0.8,8.4,4.2,1.9,0.1,9.1,0.15,0.0019,0.088,1.7,0.005,0.024,111000,5.3,0.1,140,0.42,35,4100,0.2,0.2,17,100,0.01,0.03,0.02,0.02,0.008,0.02,3.9,3.4,0.001,11,0.02,6.7,9.5,0.6,28,0.2,41,880,760,1.6,0.13,0.24,0.55,0.1,0.06,3.8,0.61,2.9,40,270,0.05
IN 2460-02,13,0.16,0.6,6.7,222,9,0.01,1.7,17,0.1,0.04,84,0.065,0.01,100,0.05,0.063,11,1.8,0.27,0.9,0.014,0.008,0.006,0.1,0.014,0.03,0.006,0.003,0.003,0.003,0.008,3600,0.019,0.1,29,0.004,30,630,0.2,0.57,0.027,7.9,0.02,0.03,0.02,0.03,0.001,0.02,2.9,0.007,0.002,4.8,0.02,0.01,3,1.1,10,0.2,100,1100,350,0.004,0.021,0.045,0.001,0.1,0.04,0.38,0.43,0.009,0.32,1.1,0.05
Shadle Mine discharge,16.5,0.33,1.3,3.4,-702,16000,0.06,4.1,16,9.4,0.04,1,0.01,0.96,130,31,0.75,5.4,2.3,770,1.4,7,4.1,1,0.1,5.6,0.47,0.0012,0.13,1.4,0.007,0.008,312000,12,4.2,110,0.47,76,19000,0.2,0.15,16,620,0.01,0.03,0.02,0.02,0.006,0.02,2.2,3.9,0.001,13,0.04,3.9,15,0.2,49,0.2,1.6,580,1300,1.1,0.29,0.061,0.59,0.1,0.06,7.9,0.7,3.2,44,1000,0.28
IN 3834-01,13,0.44,6,5.6,0,590,0.02,0.33,8,1.1,0.01,66,0.029,0.95,320,19,0.056,6.9,1.2,84,17,4.8,2.2,1.2,0.1,5.8,0.72,0.0009,0.058,0.9,0.001,0.005,850,6.3,0.1,76,0.19,140,9200,0.2,0.1,14,120,0.01,0.03,0.02,0.02,0.001,0.02,3.8,3,0.001,2.8,0.02,4.3,3.5,1.3,12,0.2,17,3000,1400,0.91,0.17,0.037,0.28,0.1,0.02,0.06,0.61,1.4,25,190,0.03
CA 0824-02,10.5,0.71,8.8,3,-291,18000,0.01,2.9,11,6.4,0.01,50,0.051,0.31,140,13,0.18,12,5.2,73,6.6,5.2,2.9,1,0.1,4.9,0.17,0.0012,0.058,1.1,0.015,0.011,76000,3.8,1.5,83,0.34,46,2500,0.2,0.08,9.8,110,0.01,0.03,0.02,0.02,0.001,0.02,3.7,2,0.001,10,0.02,3.5,10,0.6,23,0.2,50,720,910,0.93,0.42,0.37,0.43,0.1,0.02,0.27,1.1,2.4,24,170,0.08
Rowe Tunnel Discharge,12.1,0.24,10.3,6.2,-10,160,0.01,0.08,28,0.45,0.02,12,0.009,0.07,11,1.4,0.065,4.8,0.5,33,0.9,0.1,0.069,0.022,0.1,0.14,0.07,0.0008,0.002,0.021,0.001,0.004,9000,0.77,0.15,22,0.007,15,1900,0.2,0.1,0.57,42,0.01,0.03,0.02,0.02,0.008,0.02,1,0.18,0.001,2.1,0.02,0.099,3.1,0.2,9.6,0.2,3.5,41,98,0.02,0.01,0.045,0.009,0.1,0.1,0.006,0.014,0.051,0.7,55,0.03
WM HP-02,12,0.18,1.4,6.3,-4,30,0.01,9.4,18,0.2,0.01,150,0.23,0.01,63,0.41,0.11,61,0.9,15,1.1,0.29,0.19,0.038,0.1,0.23,0.08,0.0047,0.005,0.07,0.001,0.018,101000,0.12,0.06,63,0.019,22,1400,0.2,0.35,0.33,31,0.01,0.03,0.02,0.02,0.001,0.02,5.4,0.059,0.002,9.3,0.02,0.1,4.1,0.75,15,0.2,320,1200,830,0.048,0.093,0.012,0.025,0.1,0.03,0.006,0.018,0.1,2.9,6.3,0.05
WM HP-01,12,0.17,0.3,6.2,4,30,0.01,7.4,15,0.2,0.03,85,0.099,0.01,58,0.26,0.11,32,1,11,0.65,0.2,0.14,0.027,0.1,0.17,0.035,0.0058,0.005,0.051,0.002,0.033,91000,0.1,0.1,56,0.015,21,1400,0.2,0.2,0.24,17,0.01,0.03,0.02,0.02,0.001,0.02,6.3,0.044,0.004,13,0.02,0.082,4.1,0.35,15,0.2,160,1000,510,0.034,0.059,0.046,0.018,0.1,0.06,0.06,0.011,0.093,2.1,4.1,0.04
Porter Tunnel nr Tower City,11.6,0.69,10.5,3,-112,4300,0.01,0.46,23,3.8,0.03,19,0.11,0.57,45,23,0.11,33,2.1,170,22,2.6,1.4,0.56,0.1,3,0.27,0.0014,0.047,0.52,0.015,0.005,16000,10,1.6,51,0.18,57,5000,0.2,0.09,11,280,0.01,0.03,0.02,0.02,0.004,0.02,1.6,2.8,0.001,4.1,0.02,2.6,6.5,0.6,13,0.2,6.2,120,410,0.46,0.078,1,0.2,0.1,0.07,0.14,1.3,1.2,12,460,0.07
Valley View Tunnel,11.4,0.34,8.2,6,-13,35,0.01,2.6,23,0.3,0.03,11,0.013,0.075,12,0.2,0.1,0.7,0.5,26,0.95,0.038,0.021,0.009,0.1,0.034,0.06,0.001,0.002,0.009,0.001,0.004,13000,0.11,0.2,19,0.002,13,1900,0.2,0.1,0.071,31,0.01,0.03,0.02,0.02,0.01,0.02,0.94,0.02,0.001,2.2,0.02,0.018,5,0.2,9.4,0.2,0.89,58,96,0.007,0.012,0.058,0.003,0.1,0.1,0.006,0.033,0.017,0.29,31,0.03
Markson Columway,10.9,0.63,0.4,3.3,-73,1700,0.01,0.34,16,2,0.02,11,0.009,0.22,45,8.1,0.11,3.7,0.6,120,2.3,1.2,0.7,0.24,0.1,1.2,0.17,0.0006,0.027,0.25,0.002,0.005,16000,3.6,1.8,37,0.078,41,5300,0.2,0.09,4.1,170,0.01,0.03,0.02,0.02,0.005,0.02,1.4,1,0.001,4.1,0.02,0.97,4,0.2,11,0.2,2.4,130,340,0.2,0.053,0.029,0.098,0.1,0.03,0.06,0.35,0.55,6.2,240,0.03
CA 0486-5/10,16.5,0.71,8,2.9,-402,24000,0.01,0.62,23,21,0.01,30,0.022,2.3,92,110,0.3,1.5,2.7,1200,14,37,22,6.2,0.1,33,0.89,0.0009,0.42,8,0.017,0.01,73000,36,4.5,180,2.3,110,41000,0.2,0.1,73,1200,0.01,0.03,0.02,0.02,0.001,0.02,3.4,16,0.002,17,0.07,23,14,2,23,0.2,2.6,270,1100,6.3,0.24,1.3,2.9,0.1,0.16,0.17,3.9,16,180,3400,0.21
IN 4760-06,12,0.67,0.5,3.1,-191,22000,0.03,0.34,3.2,4.9,0.02,52,0.01,2.1,79,59,0.055,2.1,8.5,87,43,8.7,3.8,2.9,0.1,12,0.5,0.0008,0.093,1.6,0.04,0.004,14000,18,0.35,110,0.38,37,2400,0.2,0.25,40,150,0.01,0.03,0.02,0.02,0.035,0.02,0.5,9.1,0.001,1.5,0.02,12,13,2.2,37,0.2,10,520,540,1.8,0.13,2,0.48,0.2,0.02,1,2.4,2.6,39,390,0.04
Tracy Airhole,11.1,0.25,0.4,5.9,-16,21,0.02,1.8,18,0.2,0.04,17,0.026,0.02,45,0.55,0.099,21,0.5,53,0.85,0.076,0.043,0.011,0.1,0.079,0.085,0.0013,0.002,0.018,0.001,0.008,20000,0.3,0.06,30,0.006,44,3100,0.2,0.15,0.25,67,0.01,0.03,0.02,0.02,0.007,0.02,1.7,0.06,0.001,4,0.02,0.047,5,0.2,8.7,0.3,6.3,180,280,0.011,0.02,0.04,0.007,0.1,0.05,0.006,0.042,0.038,0.66,25,0.03
CA 0821-02,11,0.54,0.4,3.4,-254,15000,0.01,0.81,9.9,11,0.01,42,0.037,0.22,120,15,0.18,2.2,3.4,76,2.5,7.3,3.9,1.3,0.1,6.7,0.15,0.001,0.073,1.5,0.006,0.007,81000,4.4,2.4,130,0.41,34,3200,0.2,0.2,11,130,0.01,0.03,0.02,0.02,0.001,0.02,3.6,2.2,0.001,12,0.02,4.2,12,0.5,33,0.2,9.9,1700,690,1.3,0.51,0.17,0.54,0.1,0.1,1.2,0.32,2.9,31,250,0.1
Colket Mine Drift,11.5,0.24,5.4,5.9,-40,95,0.01,3.7,18,0.5,0.02,11,0.007,0.02,27,1,0.11,2.9,0.5,27,0.8,0.25,0.12,0.037,0.1,0.22,0.08,0.0012,0.006,0.048,0.001,0.003,22000,0.53,0.09,21,0.012,20,1400,0.2,0.2,0.53,38,0.01,0.03,0.02,0.02,0.008,0.02,0.9,0.12,0.001,2.3,0.02,0.12,3.1,0.2,11,0.2,2.3,130,180,0.042,0.018,0.042,0.018,0.1,0.1,0.05,0.064,0.09,1.4,18,0.03
CA 0826-01,11,0.21,5.4,7.2,268,11,0.01,1.1,27,0.1,0.01,77,0.045,0.01,33,0.03,0.034,5.1,0.5,1,1,0.005,0.003,0.003,0.1,0.005,0.01,0.0009,0.002,0.001,0.001,0.007,830,0.01,0.08,16,0.001,8.5,300,0.2,0.66,0.019,3.4,0.01,0.03,0.02,0.04,0.002,0.02,1.8,0.005,0.001,2.8,0.02,0.008,2.1,0.2,9.2,0.2,140,620,140,0.002,0.12,0.011,0.001,0.1,0.02,0.006,0.14,0.002,0.11,0.6,0.05
IN 2438-08,12,0.48,11.5,4.5,-60,7600,0.01,0.2,39,3,0.02,46,0.032,0.17,77,7.8,0.058,3.7,1.4,41,5.9,5.6,2.9,1.2,0.1,5.8,0.01,0.0009,0.064,1.1,0.004,0.009,11000,2.2,0.2,54,0.3,25,1600,0.2,0.1,7.5,79,0.01,0.03,0.02,0.02,0.093,0.02,2,1.4,0.001,5.3,0.02,3.6,7.5,0.3,15,0.2,6.6,640,350,1,0.11,0.15,0.38,0.1,0.02,0.006,0.67,2.1,24,140,0.03
IN 2436-05,10.5,0.64,0.7,3,-296,27000,0.02,0.37,15,10,0.03,45,0.052,0.43,88,23,0.2,1.1,11,100,14,14,7.4,2.7,0.1,14,0.26,0.0007,0.16,2.9,0.024,0.009,52000,6.4,1.2,180,0.76,26,1500,0.2,0.1,21,200,0.01,0.03,0.02,0.02,0.001,0.02,2.3,4,0.001,12,0.02,8.8,15,1,37,0.2,15,1200,640,2.6,0.56,1.7,1,0.1,0.06,0.43,1.6,5.4,58,480,0.05
Otto Air Shaft Discharge,12.1,0.24,0.3,5.9,24,140,0.05,1.7,25,0.85,0.21,15,0.028,0.03,40,9.1,0.18,2.6,0.5,59,0.7,0.73,0.44,0.18,0.1,0.94,0.19,0.0012,0.015,0.16,0.009,0.005,14000,4.3,0.14,23,0.046,35,2500,0.2,0.2,3.9,84,0.01,0.08,0.02,0.02,0.007,0.02,1.2,1.1,0.001,2.8,0.02,0.78,3.2,0.2,11,0.5,8.2,380,230,0.14,0.074,0.12,0.061,0.2,0.06,0.006,0.067,0.3,4.1,47,0.04
IN 2980-09,13,0.45,1.9,4.8,-198,9500,0.01,0.4,21,3.8,0.01,60,0.097,0.3,93,16,0.51,14,2.1,63,2.7,6.2,3.1,1.7,0.1,7.3,0.18,0.0011,0.062,1.2,0.001,0.017,82000,3.8,0.09,160,0.32,23,2400,0.2,0.1,16,86,0.01,0.03,0.02,0.02,0.001,0.02,3.7,2.8,0.002,11,0.02,6.2,5,0.8,18,0.2,94,990,690,1.2,0.15,0.014,0.42,0.1,0.08,0.25,0.28,2.2,31,190,0.03
IN 2980-12,12,0.3,2.3,4.9,-43,2700,0.04,0.25,37,1.9,0.03,73,0.067,0.075,46,5.7,0.057,7.8,1.1,34,0.9,1.9,0.96,0.47,0.1,2.2,0.01,0.0014,0.021,0.37,0.003,0.01,17000,1.4,0.1,38,0.11,16,870,0.2,0.3,4.9,46,0.01,0.03,0.02,0.02,0.008,0.02,3,0.98,0.003,4.9,0.02,1.8,3.8,0.3,14,0.2,23,510,260,0.37,0.15,0.06,0.14,0.1,0.05,0.006,0.21,0.76,8.7,93,0.03
IN 2442-01,10.5,0.37,4.4,7,98,11,0.03,0.25,39,0.1,0.02,55,0.039,0.02,48,0.01,0.025,7.4,0.7,0.61,0.5,0.002,0.004,0.004,0.1,0.005,0.01,0.0009,0.002,0.001,0.003,0.002,160,0.012,0.1,14,0.002,13,120,0.2,0.67,0.006,2.8,0.01,0.03,0.02,0.02,0.001,0.02,2,0.004,0.004,2.8,0.02,0.005,4,0.5,8.2,0.2,28,1200,120,0.002,0.041,0.023,0.001,0.1,0.05,0.006,0.18,0.003,0.17,5.8,0.03
CA Driscoll,11,0.71,3.4,3.1,-99,8200,0.01,0.2,9.3,5.8,0.02,38,0.023,0.43,120,13,0.096,7.6,2.9,93,24,4,2.1,0.77,0.1,4,0.13,0.0013,0.051,0.81,0.01,0.008,4900,3.8,3.1,94,0.26,35,2600,0.2,0.06,9.4,150,0.01,0.03,0.02,0.02,0.001,0.02,2.2,2.1,0.001,6.2,0.02,3.1,8,1.2,18,0.2,3.8,430,520,0.72,0.17,1.2,0.3,0.1,0.02,0.46,1.1,1.7,16,310,0.03
Silver Crk Discharge,12.7,0.29,0.5,5.7,-29,280,0.04,4.5,18,2.4,0.06,11,0.02,0.085,48,11,0.29,4.9,0.5,94,0.95,0.85,0.49,0.26,0.1,1.3,0.13,0.0007,0.019,0.18,0.002,0.007,24000,5.2,0.15,37,0.058,29,3500,0.2,0.3,5.2,110,0.01,0.03,0.02,0.02,0.005,0.02,1.1,1.4,0.001,3.2,0.02,1.1,4.1,0.2,13,0.3,2.7,520,260,0.17,0.039,0.077,0.07,0.1,0.06,0.006,0.096,0.4,4.9,220,0.11
Bell water level Tunnel Disch.,9.7,0.61,0.8,3.7,-26,900,0.01,0.21,20,1.5,0.02,11,0.005,0.12,14,3.2,0.11,3,0.5,39,2.5,0.27,0.17,0.089,0.1,0.4,0.11,0.0015,0.007,0.057,0.001,0.003,4600,1.4,1.3,23,0.023,12,1400,0.2,0.1,1.6,46,0.01,0.03,0.02,0.02,0.008,0.02,1.1,0.41,0.001,2.2,0.02,0.38,3.6,0.2,12,0.2,2.3,97,110,0.055,0.029,0.033,0.026,0.1,0.09,0.006,0.14,0.17,1.4,130,0.03
