Sample,Temperature,Eh,O2,H+,HCO3-,Al+3,SbO2-,H2AsO4-,Ba+2,Be+2,Bi+3,B(OH)3,Br-,Cd+2,Ca+2,Ce+3,Cs+,Cl-,CrO4-2,Co+2,Cu+2,Dy+3,Er+3,Eu+2,F-,Gd+3,Ga+3,Au+,Hf+4,Ho+3,In+3,I-,Fe+2,La+3,Pb+2,Li+,Lu+3,Mg+2,Mn+2,Hg+2,MoO4-2,Nd+3,Ni+2,NbO3-,NO3-,NO2-,Pd+2,HPO4-2,Pt+2,K+,Pr+3,ReO4-,Rb+,Ru+3,Sm+3,Sc+3,SeO3-2,SiO2,Ag+,Na+,Sr+2,SO4-2,Tb+3,Tl+,Th+4,Tm+3,Sn+2,WO4-2,U+4,VO+2,Yb+3,Y+3,Zn+2,Zr+4
Locust Gap Mine Discharge,26.6,0.66,5.9,3.3,-120,15000,0.02,0.3,31,5.8,0.02,22,0.014,0.75,32,58,0.18,1.2,1.1,150,15,5.5,3,1.4,0.2,6.9,0.69,0.0008,0.11,1.1,0.004,0.012,1600,27,1.7,190,0.34,40,5000,0.2,0.08,29,290,0.01,0.03,0.02,0.02,0.001,0.02,2.2,7.5,0.001,5.7,0.02,6.2,13,0.6,46,0.2,1.9,260,360,1,0.044,0.06,0.41,0.1,0.02,0.09,0.72,2.3,26,520,0.13
ARM 2937-01,11.5,0.16,0.6,6.5,94,10,0.01,7.3,24,0.1,0.01,69,0.051,0.02,47,0.02,0.066,9.8,0.5,2.8,0.65,0.013,0.011,0.003,0.1,0.011,0.01,0.0007,0.002,0.004,0.001,0.014,25000,0.012,0.1,26,0.002,13,650,0.2,0.4,0.01,7.5,0.01,0.03,0.02,0.02,0.002,0.02,2.9,0.003,0.001,5.1,0.02,0.005,3.7,0.2,14,0.2,93,1200,260,0.002,0.038,0.008,0.002,0.1,0.02,0.006,0.056,0.011,0.32,2.9,0.03
"Bear Valley Mine, N. Mtn.",10.3,0.37,1.4,5.2,-8,9,0.01,0.18,29,0.2,0.02,7.5,0.009,0.045,35,0.045,0.056,0.8,0.5,35,0.45,0.011,0.009,0.005,0.1,0.011,0.055,,0.002,0.003,0.001,0.003,6700,0.03,0.1,15,0.001,15,1900,0.2,0.1,0.019,34,0.01,0.03,0.02,0.02,0.001,0.02,0.78,0.005,0.001,1.4,0.02,0.005,7,0.2,12,0.2,2,84,160,0.002,0.011,0.016,0.001,0.1,0.07,0.006,0.006,0.004,0.18,49,0.03
"Big Mtn Mine, No. 1 Slope",11.2,0.57,4,3.7,-112,7800,0.01,1.1,17,4.6,0.01,6.6,0.006,0.52,45,35,0.11,3.1,1.5,210,7.8,5,2.9,1.1,0.1,5.5,0.53,0.0009,0.092,1.1,0.003,0.005,25000,15,2,47,0.35,63,7400,0.2,0.07,19,320,0.01,0.03,0.02,0.02,0.001,0.02,1.4,4.7,0.001,4.3,0.02,4.7,8,0.3,16,0.2,2.7,120,470,0.91,0.046,0.38,0.41,0.1,0.02,0.09,1.4,2.4,25,450,0.05
Henry Clay Sterling Mine,12.9,0.21,0.3,5.8,-19,36,0.01,4.1,18,0.65,0.02,13,0.008,0.04,62,3.1,0.3,2.4,0.5,58,0.65,0.42,0.22,0.083,0.1,0.42,0.09,0.0009,0.01,0.089,0.001,0.006,25000,1.5,0.1,100,0.025,45,3200,0.2,0.3,1.5,83,0.01,0.03,0.02,0.02,0.001,0.02,2,0.39,0.001,5.3,0.02,0.35,4.1,0.2,12,0.2,3.3,420,350,0.069,0.018,0.022,0.029,0.1,0.03,0.05,0.12,0.18,2.9,59,0.08
Corbin Water Level Drift,11.5,0.52,2.3,4.2,-123,8600,0.02,0.56,13,7.8,0.03,25,0.014,0.12,35,19,0.21,6.5,1.6,160,1.3,3.7,2.2,0.69,0.1,3.7,0.22,0.0008,0.075,0.77,0.005,0.009,35000,7.6,0.84,110,0.31,45,5000,0.2,0.14,11,220,0.01,0.03,0.02,0.02,0.001,0.02,2,2.7,0.001,4.3,0.02,3.1,10,0.4,21,0.3,4.8,240,380,0.66,0.034,0.09,0.31,0.1,0.02,0.71,1.5,1.8,18,270,0.08
Maysville Mine Borehole,11.4,0.22,4.1,6.1,45,7,0.01,4.5,19,0.1,0.01,13,0.012,0.01,65,0.08,0.19,31,0.5,23,0.45,0.017,0.017,0.005,0.1,0.011,0.06,0.0014,0.002,0.004,0.001,0.005,18000,0.059,0.1,69,0.003,35,2600,0.2,0.35,0.034,27,0.01,0.03,0.02,0.02,0.001,0.02,2.4,0.01,0.001,3.9,0.02,0.008,2.6,0.2,9.9,0.2,6.8,650,230,0.002,0.006,0.016,0.002,0.1,0.04,0.006,0.11,0.018,0.34,4.4,0.03
CLE 0846-03,15,0.38,2.4,5.5,-91,1300,0.04,2.2,12,1.1,0.01,31,0.056,0.14,380,6.3,0.21,4.8,2.8,170,2.8,2.4,1.4,0.35,0.1,2.2,0.41,0.0007,0.022,0.53,0.001,0.013,46000,2.7,0.2,95,0.14,210,17000,0.2,0.1,4.2,240,0.01,0.03,0.02,0.02,0.001,0.02,9.6,0.89,0.001,19,0.02,1.2,3.9,1.3,15,0.2,7.5,810,1900,0.43,0.18,0.01,0.17,0.1,0.02,0.41,0.27,0.97,15,190,0.04
Newkirk Tunnel,9.2,0.52,9.8,3.4,-84,10000,0.01,0.03,18,3.9,0.01,17,0.006,0.82,12,21,0.091,0.1,0.5,91,49,1.8,1,0.52,0.1,2.1,0.17,0.0014,0.016,0.35,0.007,0.001,3100,9.5,2.4,36,0.15,12,1600,0.2,0.1,10,110,0.01,0.03,0.02,0.02,0.001,0.02,0.72,2.6,0.001,1.4,0.02,2.2,2.7,0.72,14,0.2,0.69,78,160,0.32,0.031,0.36,0.16,0.1,0.08,0.006,1,0.92,8.2,550,0.03
Cameron Mine Drift,14.4,0.33,0.3,5.3,-75,74,0.01,2.3,14,0.35,0.01,14,0.017,0.03,130,6.1,0.29,16,0.5,130,0.75,0.78,0.43,0.16,0.1,0.92,0.16,0.0014,0.015,0.17,0.001,0.006,54000,2.9,0.15,96,0.045,87,5500,0.2,0.2,3.1,140,0.01,0.03,0.02,0.02,0.001,0.02,3.9,0.73,0.003,14,0.02,0.64,4.7,0.2,14,0.2,6.1,620,740,0.15,0.17,0.027,0.052,0.1,0.2,0.12,0.12,0.26,6.1,67,0.04
Scott Ridge mine Tunnel,11.8,0.3,1.9,5.9,-20,89,0.02,2.5,16,0.65,0.02,15,0.014,0.03,45,2.2,0.2,37,0.5,60,0.6,0.29,0.2,0.059,0.1,0.32,0.1,0.001,0.015,0.067,0.01,0.007,24000,1,0.08,45,0.047,33,3500,0.2,0.1,1.1,69,0.01,0.03,0.02,0.02,0.001,0.02,2,0.27,0.001,4.9,0.02,0.23,4.4,0.2,12,0.3,6.9,370,230,0.051,0.039,0.039,0.036,0.1,0.03,0.006,0.11,0.26,1.9,30,0.35
Cameron Mine Airshaft,13.6,0.49,2.4,4,-134,5400,0.02,0.99,13,5.1,0.01,23,0.015,0.3,53,20,0.47,5,0.6,180,1.4,3.7,2.1,0.73,0.1,4,0.22,0.0017,0.074,0.78,0.001,0.007,49000,7.7,1.6,260,0.27,61,6100,0.2,0.1,12,240,0.01,0.03,0.02,0.02,0.001,0.02,2.7,2.7,0.001,11,0.02,3.1,7.5,0.2,20,0.2,6.7,330,510,0.66,0.15,0.042,0.29,0.1,0.1,0.19,0.9,1.7,20,360,0.06
"Mid Valley Mine, Tunnel",9.6,0.44,0.4,4,-54,4300,0.02,0.04,17,3.9,0.01,9.8,0.005,0.32,12,9.8,0.11,5.7,0.5,74,0.7,1.2,0.69,0.29,0.1,1.4,0.22,0.001,0.019,0.24,0.001,0.003,12000,4.4,3.9,32,0.084,14,2200,0.2,0.5,5,100,0.01,0.03,0.02,0.02,0.001,0.02,1.3,1.3,0.001,3,0.02,1.3,4.9,0.2,15,0.2,4.5,65,140,0.22,0.076,0.035,0.1,0.1,0.1,0.12,0.56,0.59,5.5,250,0.03
"Mid Valley Mine, Tunnel No. 4",9.7,0.5,8.4,3.6,-42,4300,0.02,0.03,24,4.8,0.01,9,0.003,0.57,5.8,9.5,0.11,0.9,0.5,94,13,1.3,0.83,0.28,0.1,1.5,0.2,0.0013,0.021,0.28,0.001,0.002,1100,4.3,11,24,0.11,11,1800,0.2,0.09,5.2,120,0.01,0.03,0.02,0.02,0.001,0.02,0.93,1.2,0.001,2.4,0.02,1.3,3.8,0.2,11,0.2,0.8,42,100,0.23,0.067,0.02,0.12,0.1,0.08,0.006,0.72,0.72,6.5,310,0.04
CLE 0848-01,10.5,0.31,0.6,5.6,-92,710,0.01,1.8,12,2.4,0.06,34,0.036,0.045,110,6.1,0.051,6.2,2.3,90,2,3,1.5,0.63,0.1,3.3,0.23,0.0027,0.037,0.6,0.004,0.011,52000,1.6,0.1,49,0.15,56,9200,0.2,0.1,5.3,120,0.02,0.03,0.02,0.02,0.001,0.02,2.5,1,0.001,6.2,0.02,2,4.5,1.3,14,0.2,3.8,530,570,0.59,0.029,0.078,0.2,0.1,0.04,0.81,0.099,0.99,17,220,0.08
Mid Valley Mine Seep,10.9,0.77,8,3.1,-198,26000,0.01,0.15,13,11,0.01,13,0.007,1.8,37,58,0.39,1.5,2.3,150,88,5.9,3.3,1.5,0.1,7.3,0.4,0.0007,0.11,1.2,0.019,0.004,2900,28,11,130,0.42,27,4700,0.2,0.06,29,280,0.01,0.15,0.02,0.02,0.001,0.02,3.3,7.4,0.001,11,0.02,6.5,17,0.8,51,0.2,1.5,240,390,1.1,0.29,0.15,0.48,0.1,0.04,0.17,1.3,2.9,29,520,0.07
CLE 2570-03,12,0.63,1.3,2.7,-1587,100000,0.09,58,3,20,0.01,24,0.017,2.5,110,180,0.31,4,72,220,110,53,24,15,0.1,62,7.3,0.0007,0.51,10,0.34,0.012,512000,35,0.6,310,2.1,51,8100,0.2,1.8,150,580,0.01,0.03,0.02,0.02,2.8,0.02,1,29,0.002,15,0.03,55,33,4.2,59,0.2,1.1,440,2000,11,1.5,8.1,3.1,0.1,0.16,100,18,17,230,1000,0.1
Silverbrook Mine,9.6,0.51,1.1,4.2,-68,6200,0.01,0.13,28,4.3,0.01,23,0.044,0.67,26,31,0.22,15,0.5,82,2.2,2,1.2,0.71,0.1,2.8,0.25,0.0006,0.02,0.41,0.002,0.015,15000,15,7.1,69,0.2,8.8,1700,0.2,0.1,15,83,0.01,0.03,0.02,0.02,0.001,0.02,1.8,3.9,0.001,4.4,0.02,3.2,5,0.62,14,0.2,15,99,170,0.38,0.066,0.032,0.18,0.1,0.11,0.006,0.74,1.1,12,270,0.07
Oneida Tunnel,10,0.46,11.1,4.4,-11,1800,0.02,0.03,20,1.6,0.03,29,0.012,0.3,3.3,8.1,0.059,6.3,0.5,24,17,0.49,0.29,0.2,0.1,0.63,0.08,0.0006,0.007,0.097,0.001,0.001,97,3.8,2.4,11,0.047,3.6,390,0.2,0.1,3.9,34,0.01,0.03,0.02,0.02,0.001,0.02,0.96,1,0.001,1.7,0.02,0.82,2,0.64,7.6,0.2,4.2,27,34,0.089,0.029,0.029,0.043,0.1,0.08,0.006,0.35,0.29,2.2,160,0.06
Beaver Meadow Outfall,9.3,0.53,9.8,3.7,-52,6800,0.01,0.03,19,5.1,0.01,22,0.009,0.91,11,26,0.11,9.8,0.5,77,51,1.8,1,0.62,0.1,2.4,0.25,0.0008,0.016,0.35,0.003,0.001,600,12,5.2,43,0.15,12,1600,0.2,0.2,13,110,0.01,0.03,0.02,0.02,0.001,0.02,1.2,3.2,0.001,2.6,0.02,2.7,4,0.92,15,0.2,5.1,80,120,0.34,0.049,0.056,0.15,0.1,0.1,0.006,1,0.9,9.2,520,0.04
Derringer Tunnel,10.7,0.48,2.3,4.4,-13,1700,0.03,0.03,30,1.6,0.02,69,0.043,0.3,7.5,4.8,0.12,2.6,0.5,30,9,0.56,0.34,0.15,0.1,0.6,0.08,0.0003,0.007,0.11,0.004,0.004,46,2.2,2.1,13,0.052,5.7,700,0.2,0.08,2.5,39,0.01,0.03,0.02,0.02,0.001,0.02,2,0.63,0.001,2.9,0.02,0.58,2,0.38,6.4,0.2,14,56,81,0.096,0.05,0.009,0.046,0.1,0.1,0.1,0.17,0.3,2.8,160,0.04
JEF 1307-02,11,0.21,0.4,6.2,-14,43,0.01,2.5,20,0.2,0.01,55,0.056,0.01,62,1,0.056,15,0.5,14,0.45,0.36,0.19,0.087,0.1,0.45,0.075,0.0009,0.006,0.076,0.001,0.018,43000,0.32,0.1,20,0.017,22,4000,0.2,0.25,0.85,20,0.01,0.03,0.02,0.02,0.002,0.02,4.4,0.18,0.001,7.4,0.02,0.28,2.1,0.2,8.8,0.2,38,1300,310,0.07,0.025,0.015,0.026,0.1,0.03,0.006,0.043,0.11,2.6,11,0.03
Buck Mountain,8.8,0.52,7.1,3.5,-94,13000,0.01,0.09,18,8.7,0.01,13,0.006,2.1,7.6,57,0.11,1.9,0.5,190,91,4.2,2.5,1.3,0.1,5.3,0.5,0.0004,0.035,0.83,0.003,0.001,630,29,9.4,49,0.36,12,2900,0.2,0.1,29,220,0.01,0.03,0.02,0.02,0.001,0.02,1.2,7.6,0.001,2.1,0.05,5.8,5,1.3,18,0.2,1.7,53,160,0.77,0.071,0.2,0.36,0.1,0.11,0.006,2.5,2.1,23,1000,0.03
Jeddo Mine Tunnel,10.9,0.43,9.5,4.5,-49,7300,0.01,0.14,20,4.7,0.01,28,0.021,1.3,29,37,0.19,14,0.5,100,30,2.7,1.5,0.9,0.1,3.6,0.31,0.0007,0.024,0.51,0.002,0.002,920,17,3.9,52,0.21,40,3100,0.2,0.1,19,150,0.01,0.03,0.02,0.02,0.001,0.02,1.6,4.7,0.001,3.3,0.02,4,4,1.1,13,0.2,11,150,280,0.53,0.077,0.028,0.21,0.1,0.09,0.006,1.2,1.2,13,560,0.04
JEF 2987-06,11.5,0.29,6,7.3,508,20,0.04,0.22,24,0.1,0.01,120,0.19,0.01,76,0.08,0.086,25,0.7,0.32,1.3,0.021,0.009,0.008,0.1,0.02,0.13,0.0009,0.003,0.007,0.001,0.017,900,0.029,0.1,40,0.001,17,190,0.2,0.52,0.046,25,0.01,0.03,0.02,0.1,0.001,0.02,3.8,0.012,0.001,6,0.02,0.018,3.2,0.8,10,0.2,390,1800,550,0.004,0.021,0.013,0.001,0.1,0.04,0.055,0.8,0.012,0.21,2.6,0.09
CLE 1396-02,10,0.67,0.4,2.7,-639,56000,0.02,0.99,4.5,15,0.01,28,0.015,3.3,58,170,0.49,1.6,28,530,190,34,17,9.6,0.1,40,2.4,0.0077,0.34,6.7,0.25,0.007,97000,53,0.66,270,1.7,71,30000,0.2,0.2,120,610,0.01,0.03,0.02,0.02,0.001,0.02,1.2,26,0.001,8.2,0.05,38,32,4.2,37,0.2,0.97,110,1100,6.7,0.37,24,2.2,0.1,0.12,0.56,12,13,150,1700,0.25
JEF 1147-01,10,0.41,0.2,5.4,-61,2200,0.02,9.2,16,2.4,0.02,52,0.17,0.12,77,16,0.086,17,1.2,33,6.9,2.7,1.3,0.8,0.1,3.5,0.03,0.0008,0.033,0.53,0.001,0.006,37000,4.7,0.15,41,0.14,23,1100,0.2,0.2,11,58,0.01,0.03,0.02,0.02,0.001,0.02,3,2.4,0.002,6.4,0.02,3.1,4.3,0.6,16,0.2,13,1000,340,0.53,0.16,0.025,0.18,0.1,0.03,0.1,0.56,0.98,13,91,0.03
BUT 7134-08,10.5,0.18,0.2,6.5,69,14,0.01,2.2,15,0.1,0.01,65,0.038,0.01,89,0.11,0.024,2.3,0.5,22,0.4,0.034,0.022,0.009,0.1,0.035,0.02,0.0005,0.002,0.009,0.001,0.008,33000,0.07,0.1,11,0.004,14,1100,0.2,0.1,0.064,13,0.01,0.03,0.02,0.02,0.027,0.02,3.3,0.013,0.001,6.2,0.02,0.021,4.1,0.2,15,0.2,8.5,560,220,0.008,0.028,0.03,0.003,0.1,0.04,0.18,0.2,0.021,0.5,10,0.03
JEF 3470-12,10,0.32,0.4,5.8,-56,260,0.01,1.8,8.9,2.3,0.01,44,0.03,0.03,99,2.5,0.043,2.6,0.7,75,2,0.74,0.38,0.18,0.1,0.85,0.26,0.0008,0.009,0.14,0.001,0.01,39000,1.1,0.1,74,0.036,46,11000,0.2,0.1,1.8,90,0.01,0.03,0.02,0.02,0.002,0.02,3.6,0.39,0.001,7.6,0.02,0.55,4,0.9,14,0.2,9.2,470,490,0.14,0.02,0.007,0.046,0.1,0.04,0.25,0.045,0.25,4.9,32,0.05
West End Mine,10.9,0.37,1.2,4.5,-83,2600,0.01,1,15,3.3,0.02,13,0.041,0.21,65,11,0.21,2.1,0.5,96,0.6,1.9,0.96,0.36,0.1,1.8,0.14,0.0009,0.021,0.36,0.001,0.013,31000,4.5,2.4,87,0.12,45,6300,0.2,0.06,6,130,0.01,0.03,0.02,0.02,0.001,0.02,1.9,1.4,0.001,5,0.02,1.5,5,0.57,16,0.2,2.6,360,420,0.32,0.048,0.042,0.12,0.1,0.13,0.006,0.4,0.69,9.6,190,0.03
BUT 6378-08,11,0.48,0.3,4.5,-702,19000,0.02,64,9.2,14,0.01,19,0.1,1.8,160,360,0.19,11,2.3,1500,4,93,46,22,0.1,110,2.9,0.0008,0.97,19,0.004,0.1,261000,140,1.3,120,4,130,74000,0.2,0.1,260,860,0.02,0.03,0.02,0.02,0.001,0.02,7.5,54,0.003,28,0.09,79,6,5.1,14,0.2,17,430,1600,18,0.62,0.17,5.6,0.1,0.37,0.92,0.9,29,530,2200,0.21
Askam Shaft,14,0.2,,6.3,0,28,0.03,15,17,0.3,0.06,28,0.058,0.03,170,0.83,0.63,20,0.5,36,0.4,0.11,0.06,0.022,0.1,0.14,0.11,0.0008,0.003,0.021,0.001,0.019,33000,0.45,0.1,56,0.006,69,5000,0.2,0.7,0.38,39,0.02,0.03,0.02,0.02,0.001,0.02,2.5,0.092,0.001,7.7,0.02,0.075,4,0.6,16,0.01,42,1900,740,0.021,0.038,0.013,0.007,0.1,0.14,0.006,0.31,0.035,1,15,0.04
Honeypot Outfall,15.2,0.19,0.3,6.1,26,15,0.05,14,16,0.3,0.35,16,0.049,0.02,180,1.1,0.82,12,0.5,27,0.5,0.17,0.088,0.033,0.1,0.19,0.11,0.0005,0.003,0.033,0.002,0.027,47000,0.58,0.1,87,0.011,78,5300,0.2,0.76,0.54,35,0.03,0.03,0.02,0.02,0.011,0.02,3.7,0.12,0.001,9.6,0.02,0.12,5,0.73,16,0.2,60,2700,830,0.032,0.013,0.033,0.011,0.1,0.52,0.006,0.16,0.054,1.6,6,0.04
Buttonwood Outfall,16.3,0.17,1.3,6,32,21,0.02,8.2,18,0.4,0.04,19,0.11,0.03,120,1.5,0.52,20,0.5,29,0.4,0.14,0.075,0.032,0.1,0.15,0.1,0.0003,0.003,0.03,0.001,0.023,33000,0.78,0.06,71,0.01,65,4900,0.2,0.54,0.66,30,0.02,0.03,0.02,0.02,0.001,0.02,3.4,0.19,0.001,9.7,0.02,0.12,4,0.39,16,0.02,29,1200,554,0.023,0.023,0.011,0.01,0.1,0.14,0.006,0.14,0.057,1,7.5,0.03
VEN 1139-02,12,0.6,7.3,3.7,-287,19000,0.01,0.54,7.8,6.4,0.02,30,0.022,3.2,110,120,0.12,3.7,1.5,930,8.3,30,14,8.5,0.1,39,0.96,0.0009,0.33,5.8,0.003,0.017,50000,42,2,160,1.4,110,45000,0.2,0.2,86,770,0.01,0.03,0.02,0.02,0.001,0.02,4.6,18,0.002,16,0.03,29,8,2.6,27,0.2,2.5,290,980,6,0.35,0.26,1.9,0.1,0.12,0.16,1.3,9.7,160,1500,0.08
S. Wilkes-Barre Boreholes,15.6,0.18,1,6,37,14,0.03,12,17,0.35,0.04,27,0.11,0.01,100,0.56,0.85,61,0.5,17,0.5,0.11,0.07,0.023,0.1,0.13,0.085,0.0023,0.002,0.024,0.001,0.022,32000,0.24,0.08,110,0.01,59,4100,0.2,0.54,0.37,21,0.02,0.03,0.02,0.02,0.006,0.02,3.7,0.073,0.001,10,0.02,0.087,5,0.42,17,0.04,59,1400,482,0.021,0.011,0.01,0.009,0.1,0.14,0.3,0.058,0.05,0.99,3,0.03
CLE 1416-04,10,0.54,0.6,3.9,-212,23000,0.01,0.98,13,8.5,0.01,42,0.011,0.23,57,18,0.19,0.5,8.7,100,4.3,6.9,3.5,1.4,0.1,7,0.04,0.001,0.071,1.3,0.008,0.002,42000,5.3,1,130,0.38,23,1300,0.2,0.3,14,200,0.01,0.03,0.02,0.02,0.002,0.02,3,2.9,0.001,12,0.02,4.7,14,0.4,39,0.2,15,1200,470,1.3,0.15,0.21,0.48,0.1,0.2,2.1,1,2.7,26,390,0.05
CLE 1416-06,10,0.54,0.3,4,-203,22000,0.02,0.85,13,8,0.01,37,0.012,0.23,58,18,0.18,0.7,8,100,3.6,7,3.5,1.4,0.1,6.9,0.01,0.0013,0.069,1.4,0.006,0.003,41000,5.4,0.96,130,0.37,24,1300,0.2,0.3,14,190,0.01,0.03,0.02,0.02,0.001,0.02,2.9,2.9,0.001,11,0.02,4.9,15,0.4,39,0.2,14,1200,460,1.3,0.16,0.18,0.48,0.1,0.2,1.9,1,2.6,26,380,0.03
CLE 1416-14,10,0.66,3.3,3,-412,28000,0.01,1,7.2,9,0.02,37,0.031,0.5,90,23,0.22,5.7,16,140,54,9.4,4.9,1.9,0.1,9.1,0.51,0.0009,0.1,1.9,0.048,0.007,113000,6.7,1.4,160,0.49,31,2200,0.2,0.1,17,270,0.01,0.03,0.02,0.02,0.001,0.02,2.8,3.7,0.001,12,0.02,6.6,19,1,42,0.2,17,1900,780,1.7,0.25,3.1,0.68,0.1,0.025,1,2.6,3.6,37,400,0.05
CLA 1053-09,9,0.31,0.3,5.9,-344,480,0.01,0.39,11,5,0.01,60,0.053,0.03,160,13,0.13,5.2,0.6,280,1,4.1,2.1,0.88,0.1,4.9,0.43,0.0005,0.048,0.83,0.001,0.013,192000,4.9,0.1,110,0.19,77,26000,0.2,0.1,9.1,160,0.01,0.03,0.02,0.02,0.007,0.02,6.9,1.9,0.001,13,0.02,2.8,5,0.5,10,0.2,26,1100,1100,0.79,0.035,0.019,0.25,0.1,0.04,0.33,0.046,1.2,27,120,0.05
ELK 6134-07,10,0.2,1.2,4.6,-164,8100,0.01,0.46,10,4.8,0.01,53,0.033,0.23,150,12,0.11,2.8,0.9,100,4,9.7,4.9,1.5,0.1,8.6,0.22,0.0068,0.11,2,0.001,0.007,63000,3.2,0.2,79,0.5,58,10000,0.2,0.1,11,200,0.01,0.03,0.02,0.02,0.001,0.02,3.6,2.1,0.001,8.9,0.02,4.6,7.5,0.55,21,0.2,4.4,2700,760,1.7,0.073,0.015,0.62,0.1,0.08,0.14,2.4,3.2,46,300,0.03
Butler Mine Tunnel,11.4,0.41,9.7,5.1,-15,2200,0.02,0.62,24,4.4,0.04,25,0.064,0.89,30,12,0.32,110,0.5,73,22,1.8,1,0.34,0.1,1.8,0.12,0.0007,0.025,0.36,0.009,0.011,2500,5.5,8,39,0.15,33,2300,0.2,0.14,6.2,120,0.01,0.03,0.02,0.02,0.001,0.02,2.6,1.5,0.001,5.9,0.02,1.6,2.1,1.8,11,0.2,67,190,215,0.3,0.09,0.01,0.15,0.1,0.18,0.3,1,0.87,8.8,390,0.16
ELK 0969-01,10,0.22,0.3,6.2,60,74,0.01,3.9,14,0.2,0.02,49,0.028,0.02,180,0.99,0.092,4.7,1.6,6.9,2,0.47,0.23,0.082,0.1,0.5,0.17,0.0056,0.007,0.1,0.001,0.011,26000,0.4,0.1,32,0.02,50,7400,0.2,0.3,0.83,12,0.01,0.03,0.02,0.02,0.001,0.02,3.9,0.19,0.001,7.1,0.02,0.26,3.5,0.55,13,0.2,4.3,3200,570,0.084,0.027,0.03,0.03,0.1,0.02,0.33,0.5,0.12,3.7,17,0.08
Duryea Breach Seepage,13.3,0.23,1.5,6.1,51,14,0.01,4.2,19,0.2,0.02,36,0.1,0.02,81,0.64,0.36,57,0.5,32,0.4,0.08,0.057,0.013,0.1,0.084,0.06,0.0003,0.002,0.02,0.001,0.02,20000,0.35,0.15,63,0.011,51,2800,0.2,0.15,0.3,32,0.01,0.03,0.02,0.02,0.001,0.02,2.7,0.071,0.001,7.4,0.02,0.068,3,0.4,9.9,0.2,22,1100,320,0.013,0.037,0.005,0.009,0.1,0.14,0.006,0.051,0.052,0.69,8.3,0.03
Old Forge Borehole,14,0.24,1.2,6.1,55,15,0.02,5.3,20,0.2,0.02,37,0.12,0.03,84,0.33,0.4,73,0.5,25,0.5,0.05,0.042,0.009,0.1,0.051,0.055,0.0008,0.002,0.011,0.002,0.021,18000,0.19,0.1,65,0.01,51,2500,0.2,0.2,0.14,31,0.01,0.03,0.02,0.02,0.001,0.02,3,0.037,0.001,7.7,0.02,0.029,4,0.4,12,0.2,29,1200,320,0.009,0.039,0.007,0.008,0.1,0.14,0.1,0.041,0.045,0.47,8.3,0.03
Gravity Slope,9.8,0.43,1.2,5.8,17,59,0.02,0.03,25,0.95,0.01,18,0.037,0.21,30,1.7,0.13,29,0.5,20,2.2,0.26,0.15,0.051,0.1,0.28,0.06,0.0012,0.004,0.05,0.001,0.005,470,0.83,0.4,27,0.019,17,790,0.2,0.1,0.92,43,0.01,0.03,0.02,0.02,0.001,0.02,1.6,0.23,0.001,2.9,0.02,0.23,2,1.7,6.8,0.2,15,270,113,0.047,0.056,0.003,0.021,0.1,0.13,0.1,0.086,0.11,1.5,81,0.03
Jermyn Outfall Slope 1,10.4,0.42,3,6,28,22,0.43,0.28,26,0.2,0.01,21,0.031,0.07,28,0.26,0.13,27,0.5,6.9,0.8,0.035,0.024,0.007,0.1,0.038,0.04,0.0007,0.002,0.009,0.001,0.003,320,0.25,0.68,30,0.004,26,510,0.2,2.6,0.12,19,0.01,0.03,0.02,0.02,0.001,0.02,2.3,0.028,0.001,3.7,0.02,0.022,2,3.1,7,0.3,14,120,134,0.007,0.063,0.003,0.005,0.1,0.07,0.3,0.021,0.021,0.39,29,0.03
Coalbrook Mine,9.2,0.22,1.2,5.5,30,9,0.02,0.03,20,0.25,0.01,12,0.012,0.09,27,0.12,0.099,8.3,0.5,0.43,0.7,0.054,0.033,0.011,0.1,0.07,0.02,0.0012,0.002,0.01,0.001,0.001,49,0.43,0.3,17,0.003,18,19,0.2,0.4,0.29,25,0.01,0.03,0.02,0.02,0.001,0.02,1.2,0.076,0.001,2.7,0.02,0.062,1,3.9,5.8,0.2,6.1,130,114,0.009,0.007,0.003,0.005,0.1,0.11,0.006,0.089,0.019,0.45,53,0.03
