Sample,Year,Area,pH_(input),Temperature,O2_(input),Li+_(input),Na+_(input),K+_(input),Rb+_(input),Cs+_(input),Mg+2_(input),Ca+2_(input),Sr+2_(input),Ba+2_(input),HCO3-_(input),Pb+2_(input),NO3-_(input),HPO4-2_(input),SO4-2_(input),F-_(input),Cl-_(input),Br-_(input),I-_(input),Ni+2_(input),Cd+2_(input),La+3_(input),Nd+3_(input),Sm+3_(input),Eu+2_(input),Gd+3_(input),Dy+3_(input),Ho+3_(input),Er+3_(input),Tm+3_(input),Yb+3_(input),Lu+3_(input),B(OH)3_(input),SiO2_(input),Ag+_(input),Hg+2_(input),Cu+2_(input),He_(input),Ne_(input),Kr_(input),Rn_(input),Ce+3_(input),Pr+3_(input),Tb+3_(input),U+4_(input),Fe+2_(input),Mn+2_(input),CrO4-2_(input),MoO4-2_(input),WO4-2_(input),Ga+3_(input),Co+2_(input),Be+2_(input),In+3_(input),Tl+_(input),SeO3-2_(input),Sn+2_(input),SbO2-_(input),Bi+3_(input),Sc+3_(input),VO+2_(input),Y+3_(input),Zr+4_(input),NbO3-_(input),Ru+3_(input),Pm+3_(input),Hf+4_(input),Au+_(input),Rh+2_(input),Al+3_(input),H2AsO4-_(input),Zn+2_(input),Pd+2_(input),Pt+2_(input),Ar_(input),Xe_(input),Am+3_(input),Pressure,CO,CO2,CO3-2,Ca+2,CaCO3,CaCl+,CaCl2,CaF+,CaHCO3+,CaHSiO3+,CaOH+,CaSO4,Cl-,ClO-,ClO2-,ClO3-,ClO4-,F-,H+,H2,H2N2O2,H2O,H2O2,H2P2O7-2,H2PO3-,H2PO4-,H3P2O7-,H3PO3,H3PO4,H4P2O7,HCO3-,HCl,HClO,HClO2,HF,HF2-,HN2O2-,HNO2,HNO3,HO2-,HP2O7-3,HPO3-2,HPO4-2,HSO3-,HSO4-,HSO5-,HSiO3-,K+,KCl,KHSO4,KOH,KSO4-,Mg+2,MgCO3,MgCl+,MgF+,MgHCO3+,MgHSiO3+,MgOH+,MgSO4,N2,N2O2-2,NH3,NH4+,NO2-,NO3-,Na+,NaCl,NaF,NaHSiO3,NaOH,NaSO4-,O2,OCN-,OH-,P2O7-4,PO4-3,S2O6-2,S2O8-2,SO2,SO3-2,SO4-2,SiF6-2,SiO2,pH,amorphous-silica,anhydrite,anthophyllite,antigorite,aragonite,artinite,brucite,calcite,chalcedony,chrysotile,coesite,cristobalite,"cristobalite,alpha","cristobalite,beta",diopside,dolomite,enstatite,fluorite,forsterite,gypsum,halite,huntite,hydromagnesite,magnesite,monticellite,nesquehonite,quartz,sepiolite,sylvite,talc,tremolite,wollastonite,DEFAULT,O2/H2O,charge imbalance,charge imbalance % of mean charge,charge imbalance % of total charge,ionic strength,mean charge,sigma(mz) anions,sigma(mz) cations,stoichiometric ionic strength,total charge,CN-_Log_ion-H+_activity_ratio,Ca+2_Log_ion-H+_activity_ratio,Cl-_Log_ion-H+_activity_ratio,ClO-_Log_ion-H+_activity_ratio,ClO2-_Log_ion-H+_activity_ratio,ClO3-_Log_ion-H+_activity_ratio,ClO4-_Log_ion-H+_activity_ratio,F-_Log_ion-H+_activity_ratio,HCO3-_Log_ion-H+_activity_ratio,HPO4-2_Log_ion-H+_activity_ratio,HS-_Log_ion-H+_activity_ratio,HS2O3-_Log_ion-H+_activity_ratio,HSO5-_Log_ion-H+_activity_ratio,K+_Log_ion-H+_activity_ratio,Mg+2_Log_ion-H+_activity_ratio,N2H5+_Log_ion-H+_activity_ratio,N2O2-2_Log_ion-H+_activity_ratio,NH4+_Log_ion-H+_activity_ratio,NO2-_Log_ion-H+_activity_ratio,NO3-_Log_ion-H+_activity_ratio,Na+_Log_ion-H+_activity_ratio,OCN-_Log_ion-H+_activity_ratio,OH-_Log_ion-H+_activity_ratio,S2-2_Log_ion-H+_activity_ratio,S2O3-2_Log_ion-H+_activity_ratio,S2O4-2_Log_ion-H+_activity_ratio,S2O5-2_Log_ion-H+_activity_ratio,S2O6-2_Log_ion-H+_activity_ratio,S2O8-2_Log_ion-H+_activity_ratio,S3-2_Log_ion-H+_activity_ratio,S3O6-2_Log_ion-H+_activity_ratio,S4-2_Log_ion-H+_activity_ratio,S4O6-2_Log_ion-H+_activity_ratio,S5-2_Log_ion-H+_activity_ratio,S5O6-2_Log_ion-H+_activity_ratio,SCN-_Log_ion-H+_activity_ratio,SO3-2_Log_ion-H+_activity_ratio,SO4-2_Log_ion-H+_activity_ratio,SiF6-2_Log_ion-H+_activity_ratio,CH4(g),CO(g),CO2(g),H2(g),H2O(g),H2S(g),N2(g),NH3(g),O2(g),S2(g),SO2(g),Ca+2_total,Cl-_total,F-_total,H+_total,HCO3-_total,HPO4-2_total,K+_total,Mg+2_total,NO3-_total,Na+_total,O2_total,OH-_total,SO4-2_total,SiO2_total
,,,pH,degC,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,bar,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,pH,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,Eh_volts,Eh_volts,%,%,eq/kg.H2O,molality,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,molality,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality
Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Below Salt Banks,,Salt,8.3,25.0,8.2,,451,9.1,,,24,70,,,200,,0.06,0.12,95,,700,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2467636549746948,-50.7855,-4.519,-4.613,-3.0576,-4.3362,-5.1162,-7.2329,,-4.5724,-6.9557,-7.5976,-4.2797,-1.7733,-18.6761,-28.4803,-24.4251,-24.6673,,-8.3,-44.3283,-72.5532,-0.000346133,-18.4293,-16.8983,-56.6479,-7.282,-22.8495,-63.1492,-13.408,-29.6072,-2.5734,-10.7749,-19.4192,-34.7948,,,-71.2962,-24.5979,-15.6798,-21.8233,-15.203,-54.476,-6.196,-49.2749,-9.6524,-30.7172,-4.9184,-3.7099,-8.0175,-16.8292,-9.8585,-6.1623,-3.2859,-4.9105,-5.1839,,-4.8097,-6.9316,-6.668,-4.3873,-27.5148,-74.0043,-69.3254,-68.3802,-19.5291,-6.0817,-1.7816,-4.3269,,-4.8593,-7.6931,-4.4128,-3.5871,-79.2386,-5.7077,-16.23,-10.2294,-72.9166,-47.5722,-55.7068,-48.1902,-3.3418,,-3.6531,8.3,-1.24463,-2.83591,-3.57417,52.45325,0.92714,-5.32812,-4.08084,1.12401,0.14377,2.12113,-0.5915,-0.23735,-0.23735,-0.84375,-1.86267,3.55261,-2.24003,,-6.64485,-2.64452,-7.0042,-0.40473,,0.20554,-8.68422,-3.48314,0.51402,1.43665,-8.6245,5.86459,4.63734,-5.24997,0.728,0.728,0.00021118048393,0.8512,0.4256,0.0282303,0.024808840575,-0.024703250333,0.024914430817,0.029022,0.04961768115,-134.47833,13.5424,-10.07335,-26.97607,-36.7803,-32.7251,-32.96729,,-10.87342,-22.79599,-151.13309,-164.59358,-39.01721,4.59012,13.31413,-121.23169,-90.60431,-60.08019,-27.82914,-14.38166,6.51838,-87.53859,-14.00765,-270.77966,-166.2886,-152.99275,-119.97142,-89.5166,-64.17216,-377.55702,-198.78748,-484.5544,-292.14535,-591.77171,-414.39606,-228.32019,-64.79019,-19.94185,,-145.04554,-47.78781,-3.05561,-41.22796,-1.58948,-143.15186,-24.33596,-71.12466,-0.69289,-229.51166,-55.88417,0.00175164,0.0198026,,,0.00328739,1.25394e-06,0.00023343,0.000990351,9.70507e-07,0.019675,0.000257012,0.000103993,0.000991894,0.000250382
Above Salt Banks,,Salt,8.3,25.0,8.2,,437,8.6,,,23.8,69,,,225,,0.05,0.07,95,,700,,,,,,,,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2467636549746948,-50.734,-4.4674,-4.5615,-3.0657,-4.2928,-5.1241,-7.2406,,-4.529,-6.9838,-7.6057,-4.2859,-1.7731,-18.6759,-28.4801,-24.4249,-24.6671,,-8.3,-44.3283,-72.7112,-0.000344245,-18.4293,-17.3651,-56.8813,-7.5154,-23.3163,-63.3826,-13.6414,-30.074,-2.5219,-10.7747,-19.419,-34.7946,,,-71.4542,-24.6769,-15.7588,-21.8233,-15.6698,-54.7094,-6.4294,-49.273,-9.6505,-30.7153,-4.9384,-3.7342,-8.0416,-16.8517,-9.8828,-6.1847,-3.2907,-4.8638,-5.1885,,-4.763,-6.9565,-6.6729,-4.3903,-27.6728,-74.1623,-69.4044,-68.4592,-19.6081,-6.1607,-1.7951,-4.3402,,-4.8928,-7.7066,-4.4244,-3.5871,-79.266,-5.7076,-16.6968,-10.4628,-72.9129,-47.5684,-55.705,-48.1883,-3.34,,-3.6731,8.3,-1.27192,-2.84443,-3.83897,51.20679,0.98641,-5.27106,-4.08748,1.18328,0.11648,2.04664,-0.61879,-0.26464,-0.26464,-0.87104,-1.93495,3.67557,-2.27396,,-6.68542,-2.65303,-7.02231,-0.15439,,0.26923,-8.72921,-3.41944,0.48672,1.24636,-8.6574,5.73551,4.36369,-5.28833,0.728,0.728,-0.00089506092691,-3.6296,-1.8148,0.0280452,0.024659974363,-0.025107504827,0.0242124439,0.0288512,0.049319948727,-134.50578,13.53429,-10.07313,-26.97585,-36.78008,-32.72489,-32.96708,,-10.82187,-23.02939,-151.13122,-164.58985,-39.01534,4.56579,13.30927,-121.38969,-90.76231,-60.15919,-27.90814,-14.46066,6.5049,-87.56604,-14.00765,-270.77593,-166.28486,-152.98902,-119.96769,-89.51287,-64.16842,-377.55142,-198.78188,-484.54693,-292.13789,-591.76239,-414.38673,-228.34578,-64.78832,-19.93998,,-144.99399,-47.73626,-3.00406,-41.22796,-1.58948,-143.14999,-24.49396,-71.20366,-0.69289,-229.50793,-55.8823,0.00172661,0.0198026,,,0.00369832,7.31466e-07,0.000220604,0.000982098,8.08756e-07,0.0190643,0.000257012,0.000110384,0.000991894,0.000238698
Verde River,,Verde,8,25.0,8.2,,22,2.5,,,31,55,,,270,,,,45,0.2,13,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2467636549746948,-50.3299,-4.0633,-4.7571,-3.0594,-4.4821,-6.8213,-10.6412,-7.3954,-4.4183,-7.1401,-7.8991,-4.5056,-3.4766,-20.3793,-30.1836,-26.1284,-26.3706,-5.0277,-8.0,-44.328,,-6.88692e-05,-18.429,,,,,,,,-2.4175,-12.1782,-20.8225,-36.1981,-9.8545,-15.5021,,,,-22.123,,,,-49.1991,-9.5766,-30.6414,-5.101,-4.2384,-10.2493,-17.282,-10.6868,-6.915,-3.0812,-4.8498,-6.6824,-6.7434,-4.449,-6.9095,-6.7631,-4.4068,,,,,,,-3.0621,-7.3107,-9.0814,-6.3223,-9.2733,-5.9175,-3.5891,,-6.0074,,,-72.7653,-47.4208,-55.3313,-48.4144,-3.566,-39.3688,-3.536,8.0,-1.08483,-3.14421,-6.06781,32.03014,0.72818,-5.78279,-4.61938,0.92505,0.30357,0.82474,-0.4317,-0.07755,-0.07755,-0.68394,-2.9026,3.43639,-2.61915,-4.17928,-7.56289,-2.95207,,-0.35547,,0.28828,-9.88395,-3.39926,0.67382,0.24244,,4.88742,1.5803,-5.91079,0.746,0.746,0.00058187579148,10.1648,5.0824,0.00860335,0.0057244200442,-0.0054334821485,0.00601535794,0.00917226,0.011448840088,,12.94062,-11.47662,-28.37934,-38.18357,-34.12838,-34.37057,-13.02767,-10.41747,,-150.75729,-163.84226,-38.64141,3.76155,12.91884,,,,,,4.93791,,-14.00737,-270.02834,-165.53727,-152.24142,-119.2201,-88.76528,-63.42083,-376.43017,-197.66063,-483.05203,-290.64298,-589.89382,-412.51817,,-64.41439,-19.56605,-55.3688,-144.58932,-47.33214,-2.59994,-41.22769,-1.5892,-142.77606,,,-0.69289,-228.76062,-55.50864,0.00137629,0.000367763,1.05581e-05,3.00258e-06,0.00443798,,6.41292e-05,0.0012792,,0.000959758,0.000257012,,0.000469845,0.000300459
Genung Springs,,Verde,7.7,20.0,8.2,,17,1.3,,,9.6,41,,,155,,,,26,0.6,16,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2534273185738074,-51.0872,-3.9662,-5.3393,-3.1367,-5.1866,-6.8186,-10.4984,-6.9951,-4.7313,-7.3407,-8.5091,-4.7717,-3.3777,-20.4776,-30.4235,-26.2748,-26.4601,-4.5365,-7.7,-45.1517,,-4.65181e-05,-18.7318,,,,,,,,-2.6526,-11.7499,-20.5791,-36.1795,-9.1029,-14.281,,,,-22.8207,,,,-49.9003,-9.5094,-30.9315,-5.2204,-4.5125,-10.4838,-17.5487,-11.4536,-7.37,-3.5461,-5.9215,-7.0492,-6.7203,-5.1513,-7.4845,-7.7158,-5.0619,,,,,,,-3.1647,-7.3278,-8.7125,-6.4774,-9.8452,-6.2064,-3.59,,-6.4772,,,-73.5777,-47.7485,-55.7798,-49.3913,-3.7412,-34.7664,-3.3069,7.7,-0.67085,-3.49761,,,-0.20654,-8.97773,-6.41756,-0.01263,0.74087,-3.71743,0.00673,0.35727,0.35727,-0.25734,-5.09517,0.9802,-4.01939,-2.84064,,-3.24303,,-5.87203,,-1.23408,,-4.82656,1.11112,-4.21089,,1.1885,-6.50593,-6.71118,0.775,0.775,0.00013100660016,3.7936,1.8968,0.00506314,0.0034533814083,-0.0033878781082,0.0035188847083,0.00532785,0.0069067628165,,12.26328,-11.0777,-28.17761,-38.12351,-33.97479,-34.16009,-12.23646,-10.35257,,-152.92918,-165.57196,-38.63151,3.18748,11.85391,,,,,,4.53531,,-14.17718,-273.7222,-167.24477,-153.66542,-120.01267,-88.97766,-63.14847,-381.4927,-199.26216,-489.4866,-293.45624,-597.70421,-416.85153,,-64.79127,-19.14122,-50.16638,-147.14591,-48.12573,-2.56521,-42.06502,-1.72136,-144.93287,,,-0.73071,-231.9074,-56.03897,0.00102475,0.000452099,3.16372e-05,8.68499e-05,0.00254474,,3.3308e-05,0.000395675,,0.00074076,0.00025671,,0.000271147,0.000500177
Spring Creek,,Verde,7.9,19.0,8.2,,17,1.2,,,26,62,,,282,,,,5.9,0.1,31,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2520351185189564,-51.2005,-3.9056,-4.8959,-2.9914,-4.6066,-6.3975,-9.7894,-7.6428,-4.3322,-7.3723,-8.2113,-5.3296,-3.0985,-20.2388,-30.2137,-26.0461,-26.22,-5.3271,-7.9,-45.3193,,-6.90636e-05,-18.7938,,,,,,,,-2.3991,-11.6643,-20.5315,-36.1779,-10.1014,-16.0747,,,,-22.7024,,,,-50.9689,-10.4216,-31.9165,-5.397,-4.5556,-10.2596,-18.5158,-11.3362,-8.1147,-3.141,-5.0776,-6.3647,-7.106,-4.4928,-7.2536,-7.1489,-5.3603,,,,,,,-3.1727,-7.0592,-9.515,-6.6481,-9.688,-6.9172,-3.5898,,-6.3121,,,-75.5948,-49.6671,-57.0576,-50.2553,-4.442,-40.6298,-3.6737,7.9,-1.14047,-4.24109,,-7.37181,0.57448,-6.82929,-5.4104,0.7678,0.27604,-1.63005,-0.45789,-0.10806,-0.10806,-0.72435,-4.3575,2.87788,-3.48483,-4.73895,-9.26807,-3.97426,,-1.74449,,-0.1176,,-3.69133,0.64628,-2.94861,,2.34007,-3.87945,-6.50963,0.766,0.766,0.00044715830146,7.9614,3.9807,0.00817785,0.0056165545722,-0.0053929754215,0.005840133723,0.00853872,0.011233109144,,12.80863,-10.99847,-28.13877,-38.11372,-33.94611,-34.11999,-13.22714,-10.29909,,-154.5581,-168.29742,-39.81646,3.34441,12.65902,,,,,,4.72728,,-14.21213,-276.84777,-169.96608,-156.32913,-122.54787,-91.39482,-65.46713,-386.08336,-203.14861,-495.54305,-298.77574,-605.22721,-423.66713,,-66.05527,-20.24199,-56.42983,-147.62592,-48.24677,-2.51762,-42.23557,-1.74838,-146.55853,,,-0.73881,-234.92108,-57.33361,0.00154931,0.000875765,5.27179e-06,6.72906e-05,0.00462884,,3.07396e-05,0.0010714,,0.00074061,0.000256658,,6.1517e-05,0.000216699
