A,Table A,Title information (filtered),
A,
A,Running EQ6 from EQ3/6-V8.0a (R43a) for PC,
A,---,
A,
A,Sample: {sample_name},
A,Date created:  2025-06-20 04:35 PM,
A,EQ6 input file generated by AqEquil,
A,,
A,---,
A,
A,data0.dyn,
A,Water model: SUPCRT92,
A,TP points: 1,
A,+--------------------------------------------------------------------,
A,---,
B1,EndTable:,A,
B1,
B1,
B1,Table B1,Miscellaneous parameters I,
B1,Xi,t(days),Temp(C),Press(bars),pH,pmH,log fO2,Eh(v),pe,aw,
B1,0.000,0.000,25.0000,1.2307,7.0000,6.9998,-0.6695,0.8051,13.6088,1.0000,
B1,6.0174E-13,0.000,25.0000,1.2307,7.0000,6.9998,-0.6695,0.8051,13.6088,1.0000,
B1,1.0000E-08,0.000,25.0000,1.2307,7.0017,7.0015,-0.6695,0.8050,13.6071,1.0000,
B1,1.0000E-07,0.000,25.0000,1.2307,7.0167,7.0165,-0.6696,0.8041,13.5921,1.0000,
B1,1.0000E-06,0.000,25.0000,1.2307,7.1607,7.1604,-0.6703,0.7955,13.4479,1.0000,
B1,1.0000E-05,0.000,25.0000,1.2307,7.8086,7.8081,-0.6775,0.7571,12.7982,1.0000,
B1,1.2936E-05,0.000,25.0000,1.2307,7.8927,7.8920,-0.6798,0.7521,12.7136,1.0000,
B1,1.0000E-04,0.000,25.0000,1.2307,8.7738,8.7721,-0.7564,0.6988,11.8133,1.0000,
B1,2.6647E-04,0.000,25.0000,1.2307,9.1978,9.1950,-0.9559,0.6708,11.3394,1.0000,
B1,5.5192E-04,0.000,25.0000,1.2307,9.1980,9.1952,-72.9916,-0.3946,-6.6697,1.0000,
B1,6.6556E-04,0.000,25.0000,1.2307,9.1977,9.1948,-73.0064,-0.3948,-6.6731,1.0000,
B1,6.6780E-04,0.000,25.0000,1.2307,9.1276,9.1248,-75.5397,-0.4281,-7.2363,1.0000,
B1,1.0000E-03,0.000,25.0000,1.2307,9.1276,9.1248,-75.5397,-0.4281,-7.2363,1.0000,
B1,1.3057E-03,0.000,25.0000,1.2307,9.1277,9.1249,-75.5418,-0.4281,-7.2369,1.0000,
B1,1.3091E-03,0.000,25.0000,1.2307,9.1587,9.1558,-76.2580,-0.4405,-7.4470,1.0000,
B1,3.1840E-03,0.000,25.0000,1.2307,9.1587,9.1558,-76.2583,-0.4405,-7.4470,1.0000,
B1,1.0000E-02,0.000,25.0000,1.2307,9.6340,9.6300,-83.4187,-0.5746,-9.7125,1.0000,
B1,0.1000,0.000,25.0000,1.2307,9.7725,9.7677,-85.7360,-0.6170,-10.4302,0.9997,
B1,0.4955,0.000,25.0000,1.2307,9.8572,9.8520,-87.1543,-0.6430,-10.8692,0.9985,
B1,1.000,0.000,25.0000,1.2307,9.8572,9.8520,-87.1543,-0.6430,-10.8692,0.9985,
B2,EndTable:,B1,
B2,
B2,
B2,Table B2,Miscellaneous parameters II,
B2,Xi,t(days),H2O(kg),Alk(eq/kg.H2O),Signam(m),I(m),J(m),TDS(g/kg.sol),TDS(g/L),density(g/L),M/m,
B2,0.000,0.000,1.000,1.0120E-07,2.7063E-04,1.0062E-07,-1.9298E-10,0.0087,0.0087,1000.9656,1.0010,
B2,6.0174E-13,0.000,1.000,1.0120E-07,2.7063E-04,1.0062E-07,-1.9296E-10,0.0087,0.0087,1000.9656,1.0010,
B2,1.0000E-08,0.000,1.000,1.0159E-07,2.7064E-04,1.0143E-07,2.0701E-10,0.0087,0.0087,1000.9656,1.0010,
B2,1.0000E-07,0.000,1.000,1.0516E-07,2.7069E-04,1.0885E-07,3.8069E-09,0.0087,0.0087,1000.9656,1.0010,
B2,1.0000E-06,0.000,1.000,1.4652E-07,2.7120E-04,1.8969E-07,3.9806E-08,0.0087,0.0087,1000.9656,1.0010,
B2,1.0000E-05,0.000,1.000,6.5198E-07,2.7660E-04,1.2160E-06,3.9975E-07,0.0091,0.0091,1000.9659,1.0010,
B2,1.2936E-05,0.000,1.000,7.9134E-07,2.7834E-04,1.5656E-06,5.1718E-07,0.0093,0.0093,1000.9660,1.0010,
B2,1.0000E-04,0.000,1.000,6.0387E-06,2.4610E-04,1.1992E-05,3.9948E-06,0.0082,0.0082,1000.9653,1.0010,
B2,2.6647E-04,0.000,1.000,1.6091E-05,1.8448E-04,3.1907E-05,1.0623E-05,0.0062,0.0062,1000.9640,1.0010,
B2,5.5192E-04,0.000,1.000,1.6109E-05,4.4642E-05,3.1920E-05,1.0625E-05,0.0017,0.0017,1000.9611,1.0010,
B2,6.6556E-04,0.000,1.000,1.6095E-05,4.4671E-05,3.1913E-05,1.0622E-05,0.0017,0.0017,1000.9611,1.0010,
B2,6.6780E-04,0.000,1.000,1.3717E-05,5.2183E-05,3.1335E-05,1.0425E-05,0.0023,0.0023,1000.9615,1.0010,
B2,1.0000E-03,0.000,1.000,1.3717E-05,5.2183E-05,3.1335E-05,1.0425E-05,0.0023,0.0023,1000.9615,1.0010,
B2,1.3057E-03,0.000,1.000,1.3720E-05,5.2171E-05,3.1335E-05,1.0425E-05,0.0023,0.0023,1000.9615,1.0010,
B2,1.3091E-03,0.000,1.000,1.4739E-05,4.8639E-05,3.1474E-05,1.0468E-05,0.0020,0.0020,1000.9613,1.0010,
B2,3.1840E-03,0.000,0.9999,1.4739E-05,4.8636E-05,3.1474E-05,1.0468E-05,0.0020,0.0020,1000.9613,1.0010,
B2,1.0000E-02,0.000,0.9998,4.4345E-05,1.1937E-03,6.6289E-05,2.1970E-05,0.0036,0.0036,1000.9623,1.0010,
B2,0.1000,0.000,0.9979,6.1243E-05,1.6324E-02,9.0879E-05,3.0063E-05,0.0346,0.0346,1000.9822,1.0009,
B2,0.4955,0.000,0.9896,7.4585E-05,8.3094E-02,1.1045E-04,3.6484E-05,0.1695,0.1697,1001.0686,1.0009,
B2,1.000,0.000,0.9759,7.4585E-05,8.3094E-02,1.1045E-04,3.6484E-05,0.1695,0.1697,1001.0686,1.0009,
C1,EndTable:,B2,
C1,
C1,
C1,Table C1,Dissolved elements(molality),
C1,Xi,t(days),Mg,Cl,Si,Fe,
C1,0.000,0.000,1.0000E-18,0.000,1.0000E-18,1.0000E-18,
C1,6.0174E-13,0.000,2.4071E-14,0.000,6.0174E-13,1.1770E-12,
C1,1.0000E-08,0.000,4.0000E-10,0.000,1.0000E-08,1.1762E-12,
C1,1.0000E-07,0.000,4.0000E-09,0.000,1.0000E-07,1.1687E-12,
C1,1.0000E-06,0.000,4.0000E-08,0.000,1.0000E-06,1.1093E-12,
C1,1.0000E-05,0.000,4.0000E-07,0.000,1.0000E-05,1.0021E-12,
C1,1.2936E-05,0.000,5.1746E-07,0.000,1.2927E-05,9.9926E-13,
C1,1.0000E-04,0.000,4.0000E-06,0.000,1.4633E-05,1.0978E-12,
C1,2.6647E-04,0.000,1.0659E-05,0.000,1.7897E-05,1.3312E-12,
C1,5.5192E-04,0.000,1.0647E-05,0.000,1.7900E-05,2.2166E-08,
C1,6.6556E-04,0.000,1.0645E-05,0.000,1.7946E-05,2.2323E-08,
C1,6.6780E-04,0.000,1.0409E-05,0.000,2.7909E-05,7.5824E-08,
C1,1.0000E-03,0.000,1.0409E-05,0.000,2.7909E-05,7.5824E-08,
C1,1.3057E-03,0.000,1.0409E-05,0.000,2.7894E-05,7.5860E-08,
C1,1.3091E-03,0.000,1.0448E-05,0.000,2.3134E-05,8.9292E-08,
C1,3.1840E-03,0.000,1.0448E-05,0.000,2.3130E-05,8.9294E-08,
C1,1.0000E-02,0.000,2.2068E-05,0.000,5.8013E-07,3.3054E-07,
C1,0.1000,0.000,3.0300E-05,0.000,1.8348E-07,6.1622E-07,
C1,0.4955,0.000,3.6867E-05,0.000,9.1844E-08,9.5073E-07,
C1,1.000,0.000,3.6867E-05,0.000,9.1844E-08,9.5073E-07,
C2,EndTable:,C1,
C2,
C2,
C2,Table C2,Dissolved elements(ppm: mg/kg.sol),
C2,Xi,t(days),Mg,Cl,Si,Fe,
C2,0.000,0.000,2.4305E-14,0.000,2.8085E-14,5.5847E-14,
C2,6.0174E-13,0.000,5.8503E-10,0.000,1.6900E-08,6.5731E-08,
C2,1.0000E-08,0.000,9.7219E-06,0.000,2.8085E-04,6.5684E-08,
C2,1.0000E-07,0.000,9.7219E-05,0.000,2.8085E-03,6.5268E-08,
C2,1.0000E-06,0.000,9.7219E-04,0.000,2.8085E-02,6.1949E-08,
C2,1.0000E-05,0.000,9.7219E-03,0.000,0.2809,5.5962E-08,
C2,1.2936E-05,0.000,1.2577E-02,0.000,0.3631,5.5805E-08,
C2,1.0000E-04,0.000,9.7219E-02,0.000,0.4110,6.1308E-08,
C2,2.6647E-04,0.000,0.2591,0.000,0.5026,7.4343E-08,
C2,5.5192E-04,0.000,0.2588,0.000,0.5027,1.2379E-03,
C2,6.6556E-04,0.000,0.2587,0.000,0.5040,1.2467E-03,
C2,6.6780E-04,0.000,0.2530,0.000,0.7838,4.2346E-03,
C2,1.0000E-03,0.000,0.2530,0.000,0.7838,4.2346E-03,
C2,1.3057E-03,0.000,0.2530,0.000,0.7834,4.2365E-03,
C2,1.3091E-03,0.000,0.2539,0.000,0.6497,4.9867E-03,
C2,3.1840E-03,0.000,0.2539,0.000,0.6496,4.9868E-03,
C2,1.0000E-02,0.000,0.5364,0.000,1.6293E-02,1.8459E-02,
C2,0.1000,0.000,0.7364,0.000,5.1528E-03,3.4413E-02,
C2,0.4955,0.000,0.8959,0.000,2.5791E-03,5.3086E-02,
C2,1.000,0.000,0.8959,0.000,2.5791E-03,5.3086E-02,
C3,EndTable:,C2,
C3,
C3,
C3,Table C3,Dissolved elements(molarity),
C3,Xi,t(days),Mg,Cl,Si,Fe,
C3,0.000,0.000,1.0010E-18,0.000,1.0010E-18,1.0010E-18,
C3,6.0174E-13,0.000,2.4094E-14,0.000,6.0232E-13,1.1781E-12,
C3,1.0000E-08,0.000,4.0038E-10,0.000,1.0010E-08,1.1773E-12,
C3,1.0000E-07,0.000,4.0038E-09,0.000,1.0010E-07,1.1698E-12,
C3,1.0000E-06,0.000,4.0038E-08,0.000,1.0010E-06,1.1103E-12,
C3,1.0000E-05,0.000,4.0038E-07,0.000,1.0010E-05,1.0030E-12,
C3,1.2936E-05,0.000,5.1795E-07,0.000,1.2939E-05,1.0002E-12,
C3,1.0000E-04,0.000,4.0038E-06,0.000,1.4647E-05,1.0989E-12,
C3,2.6647E-04,0.000,1.0669E-05,0.000,1.7914E-05,1.3325E-12,
C3,5.5192E-04,0.000,1.0658E-05,0.000,1.7917E-05,2.2187E-08,
C3,6.6556E-04,0.000,1.0655E-05,0.000,1.7963E-05,2.2344E-08,
C3,6.6780E-04,0.000,1.0419E-05,0.000,2.7936E-05,7.5897E-08,
C3,1.0000E-03,0.000,1.0419E-05,0.000,2.7936E-05,7.5897E-08,
C3,1.3057E-03,0.000,1.0419E-05,0.000,2.7921E-05,7.5933E-08,
C3,1.3091E-03,0.000,1.0458E-05,0.000,2.3156E-05,8.9378E-08,
C3,3.1840E-03,0.000,1.0458E-05,0.000,2.3153E-05,8.9380E-08,
C3,1.0000E-02,0.000,2.2089E-05,0.000,5.8069E-07,3.3085E-07,
C3,0.1000,0.000,3.0329E-05,0.000,1.8365E-07,6.1680E-07,
C3,0.4955,0.000,3.6900E-05,0.000,9.1927E-08,9.5158E-07,
C3,1.000,0.000,3.6900E-05,0.000,9.1927E-08,9.5158E-07,
C4,EndTable:,C3,
C4,
C4,
C4,Table C4,Dissolved elements(ppm: mg/L),
C4,Xi,t(days),Mg,Cl,Si,Fe,
C4,0.000,0.000,2.4328E-14,0.000,2.8112E-14,5.5900E-14,
C4,6.0174E-13,0.000,5.8560E-10,0.000,1.6916E-08,6.5795E-08,
C4,1.0000E-08,0.000,9.7313E-06,0.000,2.8112E-04,6.5747E-08,
C4,1.0000E-07,0.000,9.7313E-05,0.000,2.8112E-03,6.5331E-08,
C4,1.0000E-06,0.000,9.7313E-04,0.000,2.8112E-02,6.2009E-08,
C4,1.0000E-05,0.000,9.7313E-03,0.000,0.2811,5.6016E-08,
C4,1.2936E-05,0.000,1.2589E-02,0.000,0.3634,5.5859E-08,
C4,1.0000E-04,0.000,9.7313E-02,0.000,0.4114,6.1368E-08,
C4,2.6647E-04,0.000,0.2593,0.000,0.5031,7.4414E-08,
C4,5.5192E-04,0.000,0.2590,0.000,0.5032,1.2391E-03,
C4,6.6556E-04,0.000,0.2590,0.000,0.5045,1.2479E-03,
C4,6.6780E-04,0.000,0.2532,0.000,0.7846,4.2386E-03,
C4,1.0000E-03,0.000,0.2532,0.000,0.7846,4.2386E-03,
C4,1.3057E-03,0.000,0.2532,0.000,0.7842,4.2406E-03,
C4,1.3091E-03,0.000,0.2542,0.000,0.6503,4.9915E-03,
C4,3.1840E-03,0.000,0.2542,0.000,0.6503,4.9916E-03,
C4,1.0000E-02,0.000,0.5369,0.000,1.6309E-02,1.8477E-02,
C4,0.1000,0.000,0.7371,0.000,5.1579E-03,3.4446E-02,
C4,0.4955,0.000,0.8969,0.000,2.5818E-03,5.3143E-02,
C4,1.000,0.000,0.8969,0.000,2.5818E-03,5.3143E-02,
D1,EndTable:,C4,
D1,
D1,
D1,Table D1,Solute basis species(total molality),
D1,Xi,t(days),H+,Mg+2,SiO2,Fe+2,
D1,0.000,0.000,-1.1579E-09,1.0000E-18,1.0000E-18,1.0000E-18,
D1,6.0174E-13,0.000,-1.1603E-09,2.4071E-14,6.0174E-13,1.1770E-12,
D1,1.0000E-08,0.000,-1.9602E-09,4.0000E-10,1.0000E-08,1.1762E-12,
D1,1.0000E-07,0.000,-9.1602E-09,4.0000E-09,1.0000E-07,1.1687E-12,
D1,1.0000E-06,0.000,-8.1160E-08,4.0000E-08,1.0000E-06,1.1093E-12,
D1,1.0000E-05,0.000,-8.0116E-07,4.0000E-07,1.0000E-05,1.0021E-12,
D1,1.2936E-05,0.000,-1.0361E-06,5.1746E-07,1.2927E-05,9.9926E-13,
D1,1.0000E-04,0.000,-8.0012E-06,4.0000E-06,1.4633E-05,1.0978E-12,
D1,2.6647E-04,0.000,-2.1318E-05,1.0659E-05,1.7897E-05,1.3312E-12,
D1,5.5192E-04,0.000,-2.1340E-05,1.0647E-05,1.7900E-05,2.2166E-08,
D1,6.6556E-04,0.000,-2.1336E-05,1.0645E-05,1.7946E-05,2.2323E-08,
D1,6.6780E-04,0.000,-2.0971E-05,1.0409E-05,2.7909E-05,7.5824E-08,
D1,1.0000E-03,0.000,-2.0971E-05,1.0409E-05,2.7909E-05,7.5824E-08,
D1,1.3057E-03,0.000,-2.0971E-05,1.0409E-05,2.7894E-05,7.5860E-08,
D1,1.3091E-03,0.000,-2.1075E-05,1.0448E-05,2.3134E-05,8.9292E-08,
D1,3.1840E-03,0.000,-2.1076E-05,1.0448E-05,2.3130E-05,8.9294E-08,
D1,1.0000E-02,0.000,-4.4799E-05,2.2068E-05,5.8013E-07,3.3054E-07,
D1,0.1000,0.000,-6.1834E-05,3.0300E-05,1.8348E-07,6.1622E-07,
D1,0.4955,0.000,-7.5636E-05,3.6867E-05,9.1844E-08,9.5073E-07,
D1,1.000,0.000,-7.5636E-05,3.6867E-05,9.1844E-08,9.5073E-07,
D2,EndTable:,D1,
D2,
D2,
D2,Table D2,Solute basis species(total ppm: mg/kg.sol),
D2,Xi,t(days),H+,Mg+2,SiO2,Fe+2,
D2,0.000,0.000,-0.0000,0.0000,0.0000,0.0000,
D2,6.0174E-13,0.000,-0.0000,0.0000,0.0000,0.0000,
D2,1.0000E-08,0.000,-0.0000,0.0000,0.0006,0.0000,
D2,1.0000E-07,0.000,-0.0000,0.0001,0.0060,0.0000,
D2,1.0000E-06,0.000,-0.0001,0.0010,0.0601,0.0000,
D2,1.0000E-05,0.000,-0.0008,0.0097,0.6008,0.0000,
D2,1.2936E-05,0.000,-0.0010,0.0126,0.7767,0.0000,
D2,1.0000E-04,0.000,-0.0081,0.0972,0.8792,0.0000,
D2,2.6647E-04,0.000,-0.0215,0.2591,1.0753,0.0000,
D2,5.5192E-04,0.000,-0.0215,0.2588,1.0755,0.0012,
D2,6.6556E-04,0.000,-0.0215,0.2587,1.0783,0.0012,
D2,6.6780E-04,0.000,-0.0211,0.2530,1.6769,0.0042,
D2,1.0000E-03,0.000,-0.0211,0.2530,1.6769,0.0042,
D2,1.3057E-03,0.000,-0.0211,0.2530,1.6760,0.0042,
D2,1.3091E-03,0.000,-0.0212,0.2539,1.3900,0.0050,
D2,3.1840E-03,0.000,-0.0212,0.2539,1.3898,0.0050,
D2,1.0000E-02,0.000,-0.0452,0.5364,0.0349,0.0185,
D2,0.1000,0.000,-0.0623,0.7364,0.0110,0.0344,
D2,0.4955,0.000,-0.0762,0.8959,0.0055,0.0531,
D2,1.000,0.000,-0.0762,0.8959,0.0055,0.0531,
D3,EndTable:,D2,
D3,
D3,
D3,Table D3,Solute basis species(total molarity),
D3,Xi,t(days),H+,Mg+2,SiO2,Fe+2,
D3,0.000,0.000,-1.1590E-09,1.0010E-18,1.0010E-18,1.0010E-18,
D3,6.0174E-13,0.000,-1.1614E-09,2.4094E-14,6.0232E-13,1.1781E-12,
D3,1.0000E-08,0.000,-1.9621E-09,4.0038E-10,1.0010E-08,1.1773E-12,
D3,1.0000E-07,0.000,-9.1690E-09,4.0038E-09,1.0010E-07,1.1698E-12,
D3,1.0000E-06,0.000,-8.1238E-08,4.0038E-08,1.0010E-06,1.1103E-12,
D3,1.0000E-05,0.000,-8.0193E-07,4.0038E-07,1.0010E-05,1.0030E-12,
D3,1.2936E-05,0.000,-1.0371E-06,5.1795E-07,1.2939E-05,1.0002E-12,
D3,1.0000E-04,0.000,-8.0088E-06,4.0038E-06,1.4647E-05,1.0989E-12,
D3,2.6647E-04,0.000,-2.1339E-05,1.0669E-05,1.7914E-05,1.3325E-12,
D3,5.5192E-04,0.000,-2.1361E-05,1.0658E-05,1.7917E-05,2.2187E-08,
D3,6.6556E-04,0.000,-2.1356E-05,1.0655E-05,1.7963E-05,2.2344E-08,
D3,6.6780E-04,0.000,-2.0991E-05,1.0419E-05,2.7936E-05,7.5897E-08,
D3,1.0000E-03,0.000,-2.0991E-05,1.0419E-05,2.7936E-05,7.5897E-08,
D3,1.3057E-03,0.000,-2.0991E-05,1.0419E-05,2.7921E-05,7.5933E-08,
D3,1.3091E-03,0.000,-2.1096E-05,1.0458E-05,2.3156E-05,8.9378E-08,
D3,3.1840E-03,0.000,-2.1096E-05,1.0458E-05,2.3153E-05,8.9380E-08,
D3,1.0000E-02,0.000,-4.4842E-05,2.2089E-05,5.8069E-07,3.3085E-07,
D3,0.1000,0.000,-6.1892E-05,3.0329E-05,1.8365E-07,6.1680E-07,
D3,0.4955,0.000,-7.5704E-05,3.6900E-05,9.1927E-08,9.5158E-07,
D3,1.000,0.000,-7.5704E-05,3.6900E-05,9.1927E-08,9.5158E-07,
D4,EndTable:,D3,
D4,
D4,
D4,Table D4,Solute basis species(total ppm: mg/L),
D4,Xi,t(days),H+,Mg+2,SiO2,Fe+2,
D4,0.000,0.000,-0.0000,0.0000,0.0000,0.0000,
D4,6.0174E-13,0.000,-0.0000,0.0000,0.0000,0.0000,
D4,1.0000E-08,0.000,-0.0000,0.0000,0.0006,0.0000,
D4,1.0000E-07,0.000,-0.0000,0.0001,0.0060,0.0000,
D4,1.0000E-06,0.000,-0.0001,0.0010,0.0601,0.0000,
D4,1.0000E-05,0.000,-0.0008,0.0097,0.6014,0.0000,
D4,1.2936E-05,0.000,-0.0010,0.0126,0.7774,0.0000,
D4,1.0000E-04,0.000,-0.0081,0.0973,0.8801,0.0000,
D4,2.6647E-04,0.000,-0.0215,0.2593,1.0763,0.0000,
D4,5.5192E-04,0.000,-0.0215,0.2590,1.0765,0.0012,
D4,6.6556E-04,0.000,-0.0215,0.2590,1.0793,0.0012,
D4,6.6780E-04,0.000,-0.0212,0.2532,1.6785,0.0042,
D4,1.0000E-03,0.000,-0.0212,0.2532,1.6785,0.0042,
D4,1.3057E-03,0.000,-0.0212,0.2532,1.6776,0.0042,
D4,1.3091E-03,0.000,-0.0213,0.2542,1.3913,0.0050,
D4,3.1840E-03,0.000,-0.0213,0.2542,1.3911,0.0050,
D4,1.0000E-02,0.000,-0.0452,0.5369,0.0349,0.0185,
D4,0.1000,0.000,-0.0624,0.7371,0.0110,0.0344,
D4,0.4955,0.000,-0.0763,0.8969,0.0055,0.0531,
D4,1.000,0.000,-0.0763,0.8969,0.0055,0.0531,
E1,EndTable:,D4,
E1,
E1,
